player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Koki Machida,27,['Japan'],CB,€11.00m,Union Saint-Gilloise,TSG 1899 Hoffenheim,€4.75m,25/26
Wouter Burger,24,['Netherlands'],DM,€4.50m,Stoke City,TSG 1899 Hoffenheim,€4.00m,25/26
Deniz Zeitler,18,"['Germany', 'Türkiye']",CF,€1.50m,FC Ingolstadt 04,TSG 1899 Hoffenheim,€1.00m,25/26
Vladimír Coufal,32,['Czech Republic'],RB,€5.00m,West Ham United,TSG 1899 Hoffenheim,free transfer,25/26
Bernardo,30,['Brazil'],CB,€5.50m,VfL Bochum,TSG 1899 Hoffenheim,free transfer,25/26
Tim Lemperle,23,['Germany'],CF,€5.00m,1.FC Köln,TSG 1899 Hoffenheim,free transfer,25/26
Anton Stach,26,['Germany'],DM,€14.00m,TSG 1899 Hoffenheim,Leeds United,€20.00m,25/26
Joshua Quarshie,20,"['Germany', 'Ghana']",CB,€3.00m,TSG 1899 Hoffenheim,Southampton FC,€3.50m,25/26
Luka Hyryläinen,20,['Finland'],DM,€2.00m,TSG 1899 Hoffenheim,1.FC Magdeburg,€1.00m,25/26
Marius Bülter,32,['Germany'],LW,€2.50m,TSG 1899 Hoffenheim,1.FC Köln,€1.00m,25/26
Finn Becker,25,['Germany'],CM,€2.00m,TSG 1899 Hoffenheim,1.FC Nuremberg,€250k,25/26
Florian Grillitsch,30,['Austria'],DM,€2.00m,TSG 1899 Hoffenheim,SC Braga,free transfer,25/26
Diadié Samassékou,29,['Mali'],DM,€1.00m,TSG 1899 Hoffenheim,Houston Dynamo FC,free transfer,25/26
Pavel Kaderabek,33,['Czech Republic'],RB,€1.70m,TSG 1899 Hoffenheim,AC Sparta Prague,free transfer,25/26
Christopher Lenz,30,['Germany'],LB,€500k,TSG 1899 Hoffenheim,Fortuna Düsseldorf,free transfer,25/26
Leart Paçarada,30,"['Kosovo', 'Germany']",LB,€1.50m,1.FC Köln,1.FC Heidenheim 1846,?,25/26
Leo Scienza,26,"['Brazil', 'Luxembourg']",LW,€3.00m,1.FC Heidenheim 1846,Southampton FC,€9.00m,25/26
Christopher Negele,20,['Germany'],LW,€250k,1.FC Heidenheim 1846,SpVgg Unterhaching,free transfer,25/26
Vitus Eicher,34,['Germany'],GK,€250k,1.FC Heidenheim 1846,Without Club,-,25/26
Norman Theuerkauf,38,['Germany'],DM,€175k,1.FC Heidenheim 1846,Retired,-,25/26
Rav van den Berg,21,['Netherlands'],CB,€4.50m,Middlesbrough FC,1.FC Köln,€8.00m,25/26
Ísak Jóhannesson,22,['Iceland'],CM,€7.00m,Fortuna Düsseldorf,1.FC Köln,€5.50m,25/26
Ragnar Ache,26,"['Germany', 'Ghana']",CF,€7.00m,1.FC Kaiserslautern,1.FC Köln,€4.50m,25/26
Sebastian Sebulonsen,25,['Norway'],RB,€2.50m,Bröndby IF,1.FC Köln,€2.50m,25/26
Alessio Castro-Montes,28,"['Belgium', 'Spain']",RM,€5.00m,Union Saint-Gilloise,1.FC Köln,€2.00m,25/26
Ron-Robert Zieler,36,['Germany'],GK,€500k,Hannover 96,1.FC Köln,€200k,25/26
Damion Downs,21,"['United States', 'Germany']",CF,€6.00m,1.FC Köln,Southampton FC,€8.00m,25/26
Steffen Tigges,27,['Germany'],CF,€700k,1.FC Köln,SC Paderborn 07,€400k,25/26
Marvin Obuz,23,"['Germany', 'Türkiye']",RW,€500k,1.FC Köln,Rot-Weiss Essen,free transfer,25/26
Jonas Nickisch,21,['Germany'],GK,€175k,1.FC Köln,1.FC Saarbrücken,free transfer,25/26
Dejan Ljubicic,27,['Austria'],DM,€4.00m,1.FC Köln,GNK Dinamo Zagreb,free transfer,25/26
Mathias Olesen,24,"['Luxembourg', 'Denmark']",DM,€1.00m,1.FC Köln,SpVgg Greuther Fürth,free transfer,25/26
Florian Dietz,27,['Germany'],CF,€300k,1.FC Köln,SSV Jahn Regensburg,?,25/26
