Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
57,Ismaël Bennacer,ALG,['MF'],Milan,26,1997,3.3,12,3.60,9,2,1,0,0,0,1,0.30,1,0,0,0,0,0,2024-2025
58,Medon Berisha,ALB,['MF'],Lecce,20,2003,8.0,29,3.64,17,6,1,2,2,1,2,0.25,2,0,0,0,0,0,2024-2025
59,Adrian Bernabe,ESP,['MF'],Parma,23,2001,16.1,58,3.59,45,6,1,2,4,0,4,0.25,4,0,0,0,0,0,2024-2025
60,Antoine Bernede,FRA,['MF'],Hellas Verona,25,1999,6.6,22,3.33,16,2,1,1,0,2,1,0.15,0,0,1,0,0,0,2024-2025
61,Sam Beukema,NED,['DF'],Bologna,25,1998,33.5,36,1.08,31,2,0,3,0,0,6,0.18,4,0,0,2,0,0,2024-2025
62,Alessandro Bianco,ITA,['MF'],Monza,21,2002,28.9,38,1.32,33,1,0,4,0,0,0,0.00,0,0,0,0,0,0,2024-2025
63,Alessandro Bianco,ITA,['MF'],Fiorentina,21,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
64,Jaka Bijol,SVN,['DF'],Udinese,25,1999,32.9,30,0.91,26,1,0,3,0,0,1,0.03,0,0,0,1,0,0,2024-2025
65,Philip Billing,DEN,['MF'],Napoli,28,1996,2.2,8,3.65,4,0,0,2,1,1,1,0.46,0,0,0,1,0,0,2024-2025
66,Cristiano Biraghi,ITA,['DF'],Torino,31,1992,12.9,41,3.19,23,14,0,2,1,1,0,0.00,0,0,0,0,0,0,2024-2025
67,Cristiano Biraghi,ITA,['DF'],Fiorentina,31,1992,4.8,8,1.66,3,5,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
68,Samuele Birindelli,ITA,"['DF', 'MF']",Monza,25,1999,16.3,35,2.15,30,2,0,2,1,0,2,0.12,1,0,0,1,0,0,2024-2025
69,Bjarki Bjarkason,ISL,"['DF', 'MF']",Venezia,24,2000,1.8,1,0.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
70,Emil Bohinen,NOR,['MF'],Genoa,25,1999,1.8,5,2.69,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
71,Warren Bondo,FRA,['MF'],Monza,20,2003,18.0,26,1.45,20,0,2,0,4,0,1,0.06,1,0,0,0,0,0,2024-2025
72,Warren Bondo,FRA,['MF'],Milan,20,2003,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
73,Kevin Bonifazi,ITA,['DF'],Lecce,28,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
74,Ange-Yoan Bonny,FRA,['FW'],Parma,20,2003,28.1,67,2.39,44,1,11,6,5,0,8,0.28,4,0,2,1,1,0,2024-2025
75,Edoardo Bove,ITA,"['MF', 'FW']",Fiorentina,22,2002,9.5,31,3.27,24,1,1,1,3,1,7,0.74,5,0,1,0,1,0,2024-2025
76,Domagoj Bradarić,CRO,['DF'],Hellas Verona,24,1999,21.5,47,2.19,30,12,3,1,1,0,1,0.05,1,0,0,0,0,0,2024-2025
77,Matthias Braunöder,AUT,['MF'],Como,22,2002,3.0,4,1.34,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,2024-2025
78,Iker Bravo,ESP,"['FW', 'MF']",Udinese,19,2005,7.6,14,1.85,10,2,1,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
79,Gleison Bremer,BRA,['DF'],Juventus,27,1997,6.0,3,0.50,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
80,Brenner,BRA,"['MF', 'FW']",Udinese,24,2000,4.3,11,2.56,8,3,0,0,0,0,1,0.23,1,0,0,0,0,0,2024-2025
81,Marco Brescianini,ITA,['MF'],Atalanta,24,2000,11.0,26,2.37,22,0,2,2,0,0,6,0.55,4,0,0,2,0,0,2024-2025
82,Arvid Brorsson,SWE,['DF'],Monza,25,1999,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
83,Tajon Buchanan,CAN,"['DF', 'FW']",Inter,25,1999,1.1,3,2.84,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
84,Alessandro Buongiorno,ITA,['DF'],Napoli,25,1999,21.4,19,0.89,18,0,0,1,0,0,2,0.09,2,0,0,0,0,0,2024-2025
85,Rareș-Cătălin Burnete,ROU,['FW'],Lecce,20,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
86,Gianluca Busio,USA,['MF'],Venezia,22,2002,28.0,65,2.33,54,0,1,5,5,0,2,0.07,1,0,0,1,0,0,2024-2025
87,Jean Butez,FRA,['GK'],Como,29,1995,18.5,5,0.27,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
88,Liberato Cacace,NZL,"['MF', 'DF']",Empoli,23,2000,24.8,54,2.18,33,14,4,2,1,0,4,0.16,2,2,0,0,0,0,2024-2025
89,Alessio Cacciamani,ITA,"['MF', 'DF']",Torino,17,2007,0.3,1,2.90,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
90,Davide Calabria,ITA,['DF'],Bologna,27,1996,7.0,24,3.42,22,1,0,0,0,1,3,0.43,3,0,0,0,0,0,2024-2025
91,Davide Calabria,ITA,['DF'],Milan,27,1996,3.5,9,2.56,6,1,0,1,1,0,0,0.00,0,0,0,0,0,0,2024-2025
92,Luca Caldirola,ITA,['DF'],Monza,33,1991,9.7,5,0.51,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
93,Hakan Çalhanoğlu,TUR,['MF'],Inter,30,1994,21.6,99,4.58,58,33,1,5,0,2,14,0.65,7,6,0,1,0,0,2024-2025
94,Drissa Camara,CIV,"['MF', 'FW']",Parma,22,2002,5.0,15,3.01,8,2,1,2,2,0,2,0.40,0,0,0,1,1,0,2024-2025
95,Francesco Camarda,ITA,"['FW', 'MF']",Milan,16,2008,2.3,7,3.04,4,0,0,2,0,1,1,0.43,0,0,0,1,0,0,2024-2025
96,Nicolò Cambiaghi,ITA,['FW'],Bologna,23,2000,6.9,30,4.36,22,0,2,2,4,0,8,1.16,6,0,0,0,2,0,2024-2025
97,Andrea Cambiaso,ITA,"['DF', 'FW']",Juventus,24,2000,24.7,85,3.45,67,7,4,3,2,2,9,0.36,7,1,0,1,0,0,2024-2025
