Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
262,Roger Hinojo,ESP,['DF'],Espanyol,19,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
263,Dinko Horkaš,CRO,['GK'],Las Palmas,25,1999,12.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
264,Pablo Ibáñez,ESP,['MF'],Osasuna,25,1998,14.4,1,20,5,25.0,1.39,0.35,0.05,0.20,20.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6,2024-2025
265,Stanis Idumbo,BEL,"['FW', 'MF']",Sevilla,19,2005,3.2,1,4,2,50.0,1.27,0.63,0.25,0.50,23.5,0,0,0,0.6,0.6,0.16,+0.4,+0.4,2024-2025
266,Iglesias,ESP,['DF'],Getafe,26,1998,32.1,0,21,3,14.3,0.65,0.09,0.00,0.00,25.7,0,0,0,1.6,1.6,0.08,-1.6,-1.6,2024-2025
267,Borja Iglesias,ESP,['FW'],Celta Vigo,31,1993,21.7,11,46,28,60.9,2.12,1.29,0.24,0.39,13.4,0,0,0,9.3,9.3,0.20,+1.7,+1.7,2024-2025
268,Kelechi Iheanacho,NGA,['FW'],Sevilla,27,1996,4.4,0,9,2,22.2,2.03,0.45,0.00,0.00,13.9,0,0,0,1.5,1.5,0.16,-1.5,-1.5,2024-2025
269,Isco,ESP,['MF'],Betis,32,1992,17.2,9,38,9,23.7,2.21,0.52,0.11,0.44,22.0,4,5,6,8.6,3.9,0.10,+0.4,+0.1,2024-2025
270,Diego Iturralde,ESP,['FW'],Sevilla,21,2003,0.4,0,1,0,0.0,2.43,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2024-2025
271,Ivan Jaime Pajuelo,ESP,['MF'],Valencia,23,2000,3.3,0,8,3,37.5,2.42,0.91,0.00,0.00,18.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,2024-2025
272,Karl Jakob Hein,EST,['GK'],Valladolid,22,2002,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
273,Adnan Januzaj,BEL,"['MF', 'FW']",Las Palmas,29,1995,6.6,2,16,5,31.3,2.41,0.75,0.13,0.40,23.6,4,0,0,0.8,0.8,0.05,+1.2,+1.2,2024-2025
274,Mikel Jauregizar,ESP,['MF'],Athletic Club,20,2003,24.9,2,21,8,38.1,0.84,0.32,0.10,0.25,22.1,0,0,0,1.1,1.1,0.05,+0.9,+0.9,2024-2025
275,John Joe,IRL,"['MF', 'FW']",Getafe,20,2003,0.5,0,2,0,0.0,3.75,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2024-2025
276,Jofre,ESP,"['MF', 'FW']",Espanyol,23,2001,24.1,3,40,10,25.0,1.66,0.42,0.08,0.30,19.5,0,0,0,2.5,2.5,0.06,+0.5,+0.5,2024-2025
277,Frenkie de Jong,NED,['MF'],Barcelona,27,1997,12.7,2,5,3,60.0,0.39,0.24,0.40,0.67,17.0,0,0,0,0.7,0.7,0.13,+1.3,+1.3,2024-2025
278,Joan Jordán,ESP,['MF'],Alavés,30,1994,15.7,5,13,4,30.8,0.83,0.25,0.15,0.50,26.7,5,3,4,4.8,1.6,0.13,+0.2,+0.4,2024-2025
279,Juanmi,ESP,"['FW', 'MF']",Getafe,31,1993,7.7,0,13,6,46.2,1.68,0.78,0.00,0.00,12.8,0,0,0,2.9,2.9,0.22,-2.9,-2.9,2024-2025
280,Juanmi,ESP,"['FW', 'MF']",Betis,31,1993,2.7,0,6,1,16.7,2.21,0.37,0.00,0.00,14.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,2024-2025
281,Juanpe,ESP,['DF'],Girona,33,1991,8.1,0,2,0,0.0,0.25,0.00,0.00,,21.8,1,0,0,0.1,0.1,0.04,-0.1,-0.1,2024-2025
282,Abdulai Juma Bah,SLE,['DF'],Valladolid,18,2006,9.6,0,3,1,33.3,0.31,0.10,0.00,0.00,9.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,2024-2025
283,Luiz Lúcio Reis Júnior,BRA,['GK'],Villarreal,23,2001,16.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
284,Vinicius Júnior,BRA,['FW'],Real Madrid,24,2000,25.0,11,78,24,30.8,3.12,0.96,0.12,0.38,17.5,0,2,3,10.4,8.2,0.11,+0.6,+0.8,2024-2025
285,Stanko Jurić,CRO,['MF'],Valladolid,27,1996,19.2,0,8,2,25.0,0.42,0.10,0.00,0.00,15.0,0,0,0,0.8,0.8,0.10,-0.8,-0.8,2024-2025
286,Willy Kambwala,FRA,['DF'],Villarreal,19,2004,12.4,0,4,1,25.0,0.32,0.08,0.00,0.00,11.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,2024-2025
287,Abdoulaye Keita,ESP,"['FW', 'MF']",Getafe,21,2002,1.1,0,2,0,0.0,1.89,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0,2024-2025
288,Kenedy,BRA,"['MF', 'FW']",Valladolid,28,1996,0.1,0,1,0,0.0,10.00,0.00,0.00,,7.2,0,0,0,0.0,0.0,0.03,0.0,0.0,2024-2025
289,Kiké,ESP,['FW'],Alavés,34,1989,28.2,13,60,24,40.0,2.12,0.85,0.17,0.42,15.4,0,3,3,9.6,7.2,0.12,+3.4,+2.8,2024-2025
290,Koke,ESP,['MF'],Atlético Madrid,32,1992,21.4,1,11,4,36.4,0.51,0.19,0.09,0.25,22.6,0,0,0,1.1,1.1,0.10,-0.1,-0.1,2024-2025
291,Jules Koundé,FRA,['DF'],Barcelona,25,1998,28.9,2,18,6,33.3,0.62,0.21,0.11,0.33,14.1,0,0,0,1.8,1.8,0.11,+0.2,+0.2,2024-2025
292,Alex Král,CZE,['MF'],Espanyol,26,1998,30.2,0,21,2,9.5,0.70,0.07,0.00,0.00,16.0,0,0,0,1.5,1.5,0.07,-1.5,-1.5,2024-2025
293,Vladyslav Krapyvtsov,UKR,['GK'],Girona,19,2005,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
294,Ladislav Krejčí,CZE,['DF'],Girona,25,1999,27.1,2,18,5,27.8,0.66,0.18,0.11,0.40,14.8,0,0,0,1.7,1.7,0.09,+0.3,+0.3,2024-2025
295,Takefusa Kubo,JPN,"['MF', 'FW']",Real Sociedad,23,2001,26.4,5,43,14,32.6,1.63,0.53,0.12,0.36,16.1,0,0,0,3.6,3.6,0.08,+1.4,+1.4,2024-2025
296,Marash Kumbulla,ALB,['DF'],Espanyol,24,2000,33.0,3,16,5,31.3,0.48,0.15,0.19,0.60,11.4,0,0,0,1.8,1.8,0.11,+1.2,+1.2,2024-2025
297,Luca de la Torre,USA,['MF'],Celta Vigo,26,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
298,Yoel Lago,ESP,['DF'],Celta Vigo,20,2004,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
299,Cyle Larin,CAN,['FW'],Mallorca,29,1995,19.6,7,38,14,36.8,1.94,0.71,0.16,0.43,11.7,0,1,1,6.9,6.1,0.16,+0.1,-0.1,2024-2025
300,Juanmi Latasa,ESP,['FW'],Valladolid,23,2001,15.5,3,40,13,32.5,2.58,0.84,0.08,0.23,11.8,0,0,0,4.2,4.2,0.11,-1.2,-1.2,2024-2025
301,Toni Lato,ESP,['DF'],Mallorca,26,1997,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
302,Robin Le Normand,ESP,['DF'],Atlético Madrid,27,1996,23.9,1,11,3,27.3,0.46,0.13,0.09,0.33,8.6,0,0,0,1.5,1.5,0.13,-0.5,-0.5,2024-2025
303,Florian Lejeune,FRA,['DF'],Rayo Vallecano,33,1991,36.9,2,58,17,29.3,1.57,0.46,0.03,0.12,23.9,20,0,0,3.6,3.6,0.06,-1.6,-1.6,2024-2025
304,Iñigo Lekue,ESP,['DF'],Athletic Club,31,1993,8.6,0,2,0,0.0,0.23,0.00,0.00,,18.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,2024-2025
305,Thomas Lemar,FRA,['MF'],Atlético Madrid,28,1995,0.9,0,2,1,50.0,2.12,1.06,0.00,0.00,23.4,1,0,0,0.3,0.3,0.14,-0.3,-0.3,2024-2025
306,Clément Lenglet,FRA,['DF'],Atlético Madrid,29,1995,21.9,2,10,4,40.0,0.46,0.18,0.20,0.50,14.9,1,0,0,2.4,2.4,0.24,-0.4,-0.4,2024-2025
307,Robert Lewandowski,POL,['FW'],Barcelona,35,1988,29.6,27,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5,3,4,27.1,24.0,0.22,-0.1,0.0,2024-2025
308,Samuel Lino,BRA,"['MF', 'DF']",Atlético Madrid,24,1999,17.2,3,45,18,40.0,2.61,1.04,0.07,0.17,16.3,0,0,0,6.0,6.0,0.13,-3.0,-3.0,2024-2025
309,Javier Llabrés,ESP,['FW'],Mallorca,21,2002,0.6,0,1,0,0.0,1.58,0.00,0.00,,19.7,0,0,0,0.0,0.0,0.05,0.0,0.0,2024-2025
310,Diego Llorente,ESP,['DF'],Betis,30,1993,28.0,2,11,4,36.4,0.39,0.14,0.18,0.50,11.3,0,0,0,1.5,1.5,0.14,+0.5,+0.5,2024-2025
311,Marcos Llorente,ESP,"['DF', 'MF']",Atlético Madrid,29,1995,27.9,2,16,5,31.3,0.57,0.18,0.13,0.40,19.2,0,0,0,0.8,0.8,0.05,+1.2,+1.2,2024-2025
312,Giovani Lo Celso,ARG,"['MF', 'FW']",Betis,28,1996,16.2,8,31,16,51.6,1.91,0.99,0.19,0.38,22.0,4,2,3,4.8,2.4,0.08,+3.2,+3.6,2024-2025
