Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
204,Rubén García,ESP,"['FW', 'MF']",Osasuna,29,1993,12.9,2,20,4,20.0,1.55,0.31,0.10,0.50,19.1,1,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches,2022-2023
205,Unai García,ESP,['DF'],Osasuna,30,1992,19.0,0,5,2,40.0,0.26,0.11,0.00,0.00,12.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2022-2023
206,Felix Garreta,ESP,['DF'],Betis,18,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
207,Aleix Garrido,ESP,['FW'],Barcelona,18,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
208,Sékou Gassama,SEN,['FW'],Valladolid,27,1995,0.4,0,2,0,0.0,5.00,0.00,0.00,,10.7,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches,2022-2023
209,Gavi,ESP,"['MF', 'FW']",Barcelona,17,2004,28.1,2,28,8,28.6,1.00,0.28,0.07,0.25,16.6,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches,2022-2023
210,Paulo Gazzaniga,ARG,['GK'],Girona,30,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
211,Bryan Gil,ESP,"['FW', 'DF']",Sevilla,21,2001,10.2,2,17,4,23.5,1.67,0.39,0.12,0.50,13.7,0,0,0,2.9,2.9,0.17,-0.9,-0.9,Matches,2022-2023
212,David Gil,ESP,['GK'],Cádiz,28,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
213,Óscar Gil,ESP,['DF'],Espanyol,25,1997,28.4,0,11,2,18.2,0.39,0.07,0.00,0.00,18.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,2022-2023
214,Álvaro Giménez,ESP,['FW'],Cádiz,31,1991,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
215,Dani Gómez,ESP,"['MF', 'FW']",Espanyol,24,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
