Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
248,Silvan Hefti,SUI,"['MF', 'DF']",Genoa,25,1997,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
249,Liam Henderson,SCO,['MF'],Empoli,27,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
250,Matheus Henrique,BRA,['MF'],Sassuolo,25,1997,27.8,2,19,7,36.8,0.68,0.25,0.11,0.29,20.7,0,0,0,2.3,2.3,0.12,-0.3,-0.3,2023-2024
251,Thomas Henry,FRA,['FW'],Hellas Verona,28,1994,3.7,3,13,7,53.8,3.50,1.89,0.23,0.43,13.9,0,0,1,3.3,2.5,0.19,-0.3,+0.5,2023-2024
252,Theo Hernández,FRA,['DF'],Milan,25,1997,31.0,5,55,16,29.1,1.77,0.52,0.07,0.25,20.7,2,1,2,4.9,3.4,0.06,+0.1,+0.6,2023-2024
253,Isak Hien,SWE,['DF'],Hellas Verona,24,1999,9.6,0,4,1,25.0,0.42,0.10,0.00,0.00,9.0,0,0,0,0.4,0.4,0.11,-0.4,-0.4,2023-2024
254,Isak Hien,SWE,['DF'],Atalanta,24,1999,10.4,0,4,2,50.0,0.38,0.19,0.00,0.00,9.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2023-2024
255,Emil Holm,SWE,['DF'],Atalanta,23,2000,10.5,1,26,8,30.8,2.47,0.76,0.04,0.13,11.9,0,0,0,2.7,2.7,0.11,-1.7,-1.7,2023-2024
256,Martin Hongla,CMR,['MF'],Hellas Verona,25,1998,12.0,0,3,0,0.0,0.25,0.00,0.00,,23.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2023-2024
257,Sydney van Hooijdonk,NED,['FW'],Bologna,23,2000,2.4,0,5,1,20.0,2.12,0.42,0.00,0.00,18.1,1,0,0,0.6,0.6,0.12,-0.6,-0.6,2023-2024
258,Dean Huijsen,ESP,['DF'],Roma,18,2005,5.7,2,6,2,33.3,1.06,0.35,0.33,1.00,11.0,0,0,0,0.4,0.4,0.07,+1.6,+1.6,2023-2024
259,Dean Huijsen,ESP,['DF'],Juventus,18,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
260,Elseid Hysaj,ALB,['DF'],Lazio,29,1994,13.3,0,2,1,50.0,0.15,0.08,0.00,0.00,18.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,2023-2024
261,Arijon Ibrahimović,GER,"['FW', 'DF']",Frosinone,17,2005,5.3,1,12,4,33.3,2.28,0.76,0.08,0.25,20.7,0,0,0,0.8,0.8,0.07,+0.2,+0.2,2023-2024
