Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
71,Warren Bondo,FRA,['MF'],Monza,20,2003,18.0,0,13,1,7.7,0.72,0.06,0.00,0.00,25.9,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,2024-2025
72,Warren Bondo,FRA,['MF'],Milan,20,2003,1.8,0,1,1,100.0,0.56,0.56,0.00,0.00,24.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2024-2025
73,Kevin Bonifazi,ITA,['DF'],Lecce,28,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
74,Ange-Yoan Bonny,FRA,['FW'],Parma,20,2003,28.1,6,61,19,31.1,2.17,0.68,0.07,0.21,16.7,0,2,3,9.4,7.1,0.12,-3.4,-3.1,Matches,2024-2025
75,Edoardo Bove,ITA,"['MF', 'FW']",Fiorentina,22,2002,9.5,1,7,2,28.6,0.74,0.21,0.14,0.50,14.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,2024-2025
76,Domagoj Bradarić,CRO,['DF'],Hellas Verona,24,1999,21.5,1,9,4,44.4,0.42,0.19,0.11,0.25,19.6,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,2024-2025
77,Matthias Braunöder,AUT,['MF'],Como,22,2002,3.0,0,2,0,0.0,0.67,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,2024-2025
78,Iker Bravo,ESP,"['FW', 'MF']",Udinese,19,2005,7.6,2,13,3,23.1,1.72,0.40,0.15,0.67,17.2,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches,2024-2025
79,Gleison Bremer,BRA,['DF'],Juventus,27,1997,6.0,0,3,0,0.0,0.50,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2024-2025
80,Brenner,BRA,"['MF', 'FW']",Udinese,24,2000,4.3,1,7,4,57.1,1.63,0.93,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches,2024-2025
81,Marco Brescianini,ITA,['MF'],Atalanta,24,2000,11.0,4,20,8,40.0,1.82,0.73,0.20,0.50,13.4,0,0,0,3.1,3.1,0.16,+0.9,+0.9,Matches,2024-2025
82,Arvid Brorsson,SWE,['DF'],Monza,25,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
83,Tajon Buchanan,CAN,"['DF', 'FW']",Inter,25,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
