Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
435,Arnaud Nordin,FRA,['FW'],Montpellier,24,1998,26.7,4,0,0,21,82,4,49,14,14,2,0,0,120,21,59,26.3,2022-2023
436,Riad Nouri,FRA,"['MF', 'FW']",Ajaccio,37,1985,18.8,3,0,0,16,15,7,86,15,12,0,0,0,84,13,17,43.3,2022-2023
437,Alexander Nübel,GER,['GK'],Monaco,25,1996,38.0,2,0,0,0,2,0,0,1,0,0,0,0,43,7,1,87.5,2022-2023
438,Gerzino Nyamsi,FRA,['DF'],Strasbourg,25,1997,17.5,4,1,0,37,3,0,1,10,20,0,2,0,108,37,20,64.9,2022-2023
439,Wilson Odobert,FRA,"['MF', 'FW']",Troyes,17,2004,19.6,0,0,0,9,16,2,34,15,14,0,0,0,74,7,21,25.0,2022-2023
440,Florent Ogier,FRA,['DF'],Clermont Foot,33,1989,18.9,4,0,0,15,9,0,3,18,16,0,1,0,87,28,27,50.9,2022-2023
441,Warmed Omari,COM,['DF'],Rennes,22,2000,15.1,2,1,0,8,6,3,0,17,11,0,0,0,69,37,19,66.1,2022-2023
442,Jonas Omlin,SUI,['GK'],Montpellier,28,1994,13.0,1,1,0,1,3,0,0,0,0,0,0,0,16,3,0,100.0,2022-2023
443,Ado Onaiwu,JPN,['FW'],Toulouse,26,1995,12.0,0,0,0,15,15,3,5,2,6,0,0,0,35,37,38,49.3,2022-2023
444,Jean Onana,CMR,"['MF', 'DF']",Lens,22,2000,9.0,3,0,0,7,10,2,3,18,17,0,0,0,63,9,7,56.3,2022-2023
445,Loïs Openda,BEL,['FW'],Lens,22,2000,28.0,2,0,0,42,47,22,30,2,9,0,0,0,60,13,20,39.4,2022-2023
446,Dango Ouattara,BFA,"['FW', 'MF']",Lorient,20,2002,17.2,3,1,1,15,43,2,33,19,26,2,0,0,90,37,38,49.3,2022-2023
447,Zinédine Ould Khaled,FRA,"['MF', 'FW']",Angers,22,2000,0.6,0,0,0,1,0,0,0,2,1,0,0,0,6,1,2,33.3,2022-2023
448,Azzedine Ounahi,MAR,"['MF', 'FW']",Marseille,22,2000,1.3,0,0,0,1,3,0,0,0,1,0,0,0,8,0,5,0.0,2022-2023
449,Azzedine Ounahi,MAR,"['MF', 'FW']",Angers,22,2000,12.5,1,0,0,11,24,1,17,15,8,0,0,0,70,5,12,29.4,2022-2023
450,Adam Ounas,ALG,"['FW', 'MF']",Lille,25,1996,11.8,2,0,0,15,29,2,75,7,11,1,0,0,60,5,10,33.3,2022-2023
451,Ante Palaversa,CRO,['MF'],Troyes,22,2000,0.3,0,0,0,0,0,0,2,1,1,0,0,0,7,0,0,,2022-2023
452,Nicolas Pallois,FRA,['DF'],Nantes,34,1987,24.6,4,1,1,20,6,1,7,30,44,0,1,1,174,35,25,58.3,2022-2023
453,Erik Palmer-Brown,USA,['DF'],Troyes,25,1997,35.5,5,0,0,29,12,1,2,26,27,0,1,1,178,56,32,63.6,2022-2023
454,Lucas Paquetá,BRA,['MF'],Lyon,24,1997,1.8,0,0,0,2,3,0,1,1,4,0,0,0,10,4,1,80.0,2022-2023
455,Leandro Paredes,ARG,['MF'],Paris S-G,28,1994,0.6,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,,2022-2023
456,Dimitri Payet,FRA,"['MF', 'FW']",Marseille,35,1987,9.3,0,0,0,5,19,2,58,0,4,0,0,0,46,5,5,50.0,2022-2023
457,Théo Pellenard,FRA,['DF'],Auxerre,28,1994,1.1,0,0,0,1,0,0,1,2,0,0,0,0,2,1,0,100.0,2022-2023
458,Timothee Pembele,FRA,['DF'],Paris S-G,19,2002,2.9,0,0,0,0,1,0,4,4,5,0,0,0,5,3,3,50.0,2022-2023
459,Patrick Pentz,AUT,['GK'],Reims,25,1997,7.0,1,0,0,0,2,0,0,0,0,0,0,0,8,0,0,,2022-2023
460,Nicolas Pépé,CIV,"['FW', 'MF']",Nice,27,1995,16.6,2,0,0,13,33,6,42,3,13,2,0,0,76,8,13,38.1,2022-2023
461,Brayann Pereira,FRA,['DF'],Auxerre,19,2003,2.0,0,0,0,1,4,0,9,2,5,0,0,0,9,3,0,100.0,2022-2023
462,Danilo Pereira,POR,"['DF', 'MF']",Paris S-G,30,1991,26.8,3,0,0,17,14,1,3,36,17,0,0,0,184,34,22,60.7,2022-2023
463,Mathias Pereira Lage,POR,"['MF', 'FW']",Brest,25,1996,14.0,2,0,0,23,27,1,34,14,7,1,0,0,69,21,28,42.9,2022-2023
464,Gaëtan Perrin,FRA,"['MF', 'FW']",Auxerre,26,1996,15.5,1,0,0,18,22,4,30,10,8,0,0,0,84,14,22,38.9,2022-2023
465,Lucas Perrin,FRA,['DF'],Strasbourg,23,1998,19.6,4,0,0,23,19,0,8,36,27,0,1,0,112,36,19,65.5,2022-2023
466,Ronaël Pierre-Gabriel,FRA,['DF'],Strasbourg,24,1998,7.3,3,0,0,12,8,2,19,9,18,0,0,0,41,8,7,53.3,2022-2023
467,Julien Ponceau,FRA,['MF'],Lorient,21,2000,18.4,1,0,0,21,25,4,12,14,19,0,0,0,105,8,27,22.9,2022-2023
468,Łukasz Poręba,POL,['MF'],Lens,22,2000,2.9,1,0,0,9,2,0,6,4,4,0,0,0,12,3,1,75.0,2022-2023
469,Jackson Porozo,ECU,['DF'],Troyes,21,2000,18.0,3,0,0,29,18,1,3,33,20,0,0,0,75,47,25,65.3,2022-2023
470,Sanjin Prcić,BIH,['MF'],Strasbourg,28,1993,18.1,3,1,0,16,19,1,29,25,12,0,0,0,152,16,7,69.6,2022-2023
471,Mehdi Puch-Herrantz,FRA,['MF'],Ajaccio,18,2004,0.5,0,0,0,1,1,0,0,3,2,0,0,0,6,0,1,0.0,2022-2023
472,Ghjuvanni Quilichini,FRA,['GK'],Ajaccio,19,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2022-2023
473,Ionuț Radu,ROU,['GK'],Auxerre,25,1997,17.0,0,0,0,1,0,0,0,0,0,0,0,0,19,3,0,100.0,2022-2023
474,Simon Ramet,FRA,['DF'],Lille,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2022-2023
475,Adil Rami,FRA,['DF'],Troyes,36,1985,17.7,2,0,0,10,14,1,5,25,14,0,1,0,93,29,16,64.4,2022-2023
476,Sergio Ramos,ESP,['DF'],Paris S-G,36,1986,30.0,3,1,0,36,24,4,13,34,26,1,0,0,173,55,34,61.8,2022-2023
477,Aaron Ramsey,WAL,['MF'],Nice,31,1990,17.6,3,0,0,23,18,3,62,17,25,1,0,0,115,6,12,33.3,2022-2023
478,Lilian Raolisoa,FRA,"['DF', 'MF']",Angers,22,2000,1.9,0,0,0,1,3,0,10,3,9,0,0,0,17,1,0,100.0,2022-2023
479,Elba Rashani,KVX,"['MF', 'FW']",Clermont Foot,29,1993,24.0,3,0,0,36,29,4,58,21,26,1,0,0,101,16,42,27.6,2022-2023
480,Rafael Ratão,BRA,"['FW', 'MF']",Toulouse,26,1995,20.6,2,0,0,28,33,2,52,21,36,0,0,0,116,10,13,43.5,2022-2023
481,Rayan Raveloson,MAD,"['DF', 'MF']",Auxerre,25,1997,27.0,0,0,0,22,35,1,33,39,23,0,0,1,181,29,22,56.9,2022-2023
482,Jeff Reine-Adélaïde,FRA,['MF'],Troyes,24,1998,2.6,0,0,0,2,5,0,0,2,2,0,0,0,14,3,4,42.9,2022-2023
483,Jeff Reine-Adélaïde,FRA,['MF'],Lyon,24,1998,3.7,1,0,0,7,4,0,13,6,5,0,0,0,30,3,3,50.0,2022-2023
484,Alexsandro Ribeiro,BRA,['DF'],Lille,22,1999,17.9,4,0,0,18,20,2,4,25,18,0,0,0,113,32,28,53.3,2022-2023
485,Rémy Riou,FRA,['GK'],Lyon,34,1987,6.7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,2022-2023
486,Renaud Ripart,FRA,"['FW', 'MF']",Troyes,29,1993,14.7,4,0,0,25,25,6,21,7,23,0,0,0,54,56,78,41.8,2022-2023
487,Joe Rodon,WAL,['DF'],Rennes,24,1997,15.7,2,1,0,11,18,0,1,9,7,0,0,0,76,44,30,59.5,2022-2023
488,Valentin Rongier,FRA,['MF'],Marseille,27,1994,33.7,8,0,0,52,29,0,8,54,59,0,0,0,267,43,30,58.9,2022-2023
489,Pablo Rosario,DOM,"['MF', 'DF']",Nice,25,1997,19.6,6,0,0,18,13,0,11,23,26,0,0,0,97,16,22,42.1,2022-2023
490,Anthony Rouault,FRA,['DF'],Toulouse,21,2001,36.8,4,1,1,21,17,1,0,56,37,0,0,1,213,86,64,57.3,2022-2023
491,Kays Ruiz,FRA,['MF'],Auxerre,19,2002,0.7,1,0,0,2,3,0,0,3,1,0,0,0,10,0,0,,2022-2023
492,Fabián Ruiz Peña,ESP,['MF'],Paris S-G,26,1996,21.0,0,0,0,19,13,4,13,18,28,0,1,0,157,5,7,41.7,2022-2023
493,Halid Šabanović,BIH,['DF'],Angers,22,1999,7.1,1,1,0,10,2,1,8,8,6,0,0,0,28,4,4,50.0,2022-2023
494,Falaye Sacko,MLI,['DF'],Montpellier,27,1995,28.7,3,0,0,26,19,5,36,33,25,0,3,1,179,17,18,48.6,2022-2023
495,Wesley Saïd,FRA,"['FW', 'MF']",Lens,27,1995,7.2,2,0,0,20,1,1,5,1,1,0,0,0,20,5,7,41.7,2022-2023
496,Théo Sainte-Luce,FRA,['DF'],Montpellier,23,1998,5.9,0,0,0,13,1,0,10,10,11,0,0,0,21,6,9,40.0,2022-2023
497,Hamza Sakhi,FRA,['MF'],Auxerre,26,1996,18.4,1,0,0,13,21,5,88,25,22,0,0,0,106,6,3,66.7,2022-2023
