Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
541,Stoichkov,ESP,"['MF', 'FW']",Alavés,30,1993,7.8,28,3.60,17,0,2,3,4,2,2,0.26,1,0,0,1,0,0,2024-2025
542,Cristhian Stuani,URU,['FW'],Girona,37,1986,12.0,14,1.17,10,0,1,3,0,0,3,0.25,2,0,0,1,0,0,2024-2025
543,Álex Suárez,ESP,['DF'],Las Palmas,31,1993,27.3,14,0.51,12,0,0,2,0,0,2,0.07,2,0,0,0,0,0,2024-2025
544,Denis Suárez,ESP,['MF'],Villarreal,30,1994,6.8,28,4.14,20,6,0,2,0,0,3,0.44,3,0,0,0,0,0,2024-2025
545,Luka Sučić,CRO,['MF'],Real Sociedad,21,2002,19.9,55,2.76,44,0,3,5,2,1,5,0.25,5,0,0,0,0,0,2024-2025
546,Suso,ESP,"['FW', 'MF']",Sevilla,30,1993,6.7,45,6.68,25,8,8,3,1,0,3,0.45,2,1,0,0,0,0,2024-2025
547,Williot Swedberg,SWE,"['FW', 'MF']",Celta Vigo,20,2004,15.0,36,2.40,24,0,3,8,1,0,8,0.53,6,0,1,1,0,0,2024-2025
548,Mamadou Sylla,SEN,"['FW', 'MF']",Valladolid,30,1994,17.6,22,1.25,16,0,1,1,4,0,5,0.28,2,0,1,0,2,0,2024-2025
549,Wojciech Szczęsny,POL,['GK'],Barcelona,34,1990,15.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
550,Alexander Sørloth,NOR,['FW'],Atlético Madrid,28,1995,17.4,30,1.73,19,0,4,5,2,0,5,0.29,2,0,2,1,0,0,2024-2025
551,Renato Tapia,PER,"['MF', 'DF']",Leganés,29,1995,26.9,24,0.89,19,2,1,0,1,1,4,0.15,4,0,0,0,0,0,2024-2025
