player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Abdelwahed Wahib,23,['Morocco'],LB,€400k,Le Havre AC,US Concarneau,?,23/24
Salifou Soumah,19,['Guinea'],RW,€100k,Le Havre AC,Zira FC,?,23/24
Nabil Alioui,24,"['Morocco', 'France']",AM,€4.00m,Le Havre AC,Adana Demirspor,?,23/24
Aristide Wam,21,['Cameroon'],DM,€50k,Le Havre AC,Without Club,-,23/24
Kevin Van Den Kerkhof,27,"['Algeria', 'France']",RB,€2.00m,SC Bastia,FC Metz,€2.50m,23/24
Benjamin Tetteh,26,['Ghana'],CF,€1.50m,Hull City,FC Metz,€1.80m,23/24
Joel Asoro,24,"['Sweden', 'Nigeria']",RW,€1.50m,Djurgårdens IF,FC Metz,€1.20m,23/24
Simon Elisor,23,"['France', 'Guadeloupe']",CF,€800k,RFC Seraing,FC Metz,€400k,23/24
Maxime Colin,31,['France'],RB,€1.20m,Birmingham City,FC Metz,free transfer,23/24
Ibou Sané,18,['Senegal'],CF,-,AS Académie Génération Foot,FC Metz,?,23/24
Sadibou Sané,19,['Senegal'],CB,-,AS Académie Génération Foot,FC Metz,?,23/24
Georges Mikautadze,22,"['Georgia', 'France']",CF,€10.00m,FC Metz,Ajax Amsterdam,€16.00m,23/24
Boubacar Traoré,21,['Mali'],DM,€5.00m,FC Metz,Wolverhampton Wanderers,€11.00m,23/24
Youssef Maziz,25,"['France', 'Morocco']",AM,€1.50m,FC Metz,Oud-Heverlee Leuven,€1.50m,23/24
Jean N'Guessan,20,"[""Cote d'Ivoire""]",CM,€1.00m,FC Metz,Al-Wasl FC,€600k,23/24
Ibrahima Niane,24,"['Senegal', 'France']",CF,€3.00m,FC Metz,Angers SCO,€500k,23/24
Habib Maïga,28,"[""Cote d'Ivoire""]",DM,€2.00m,FC Metz,Ferencvárosi TC,€400k,23/24
Lenny Joseph,22,"['France', 'Haiti']",CF,€400k,FC Metz,Grenoble Foot 38,?,23/24
Lamine Gueye,25,['Senegal'],RW,€1.00m,FC Metz,Paris FC,?,23/24
Vágner Dias,29,"['Cape Verde', 'Portugal']",LW,€650k,FC Metz,Without Club,-,23/24
