Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
118,Fabien Centonze,FRA,['DF'],Hellas Verona,27,1996,7.5,2,0,0,13,7,1,28,10,8,0,0,0,23,9,5,64.3,2023-2024
119,Michele Cerofolini,ITA,['GK'],Frosinone,24,1999,7.5,1,0,0,1,0,0,0,0,0,0,1,1,8,1,0,100.0,2023-2024
120,Alberto Cerri,ITA,['FW'],Empoli,27,1996,6.1,2,0,0,15,9,6,1,3,3,0,0,0,18,41,30,57.7,2023-2024
121,Leonardo Cerri,ITA,['DF'],Juventus,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
122,Charlys,BRA,['MF'],Hellas Verona,19,2004,0.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,2023-2024
123,Walid Cheddira,MAR,['FW'],Frosinone,25,1998,23.6,0,0,0,27,43,16,3,5,7,2,0,0,47,37,69,34.9,2023-2024
124,Federico Chiesa,ITA,['FW'],Juventus,25,1997,24.4,1,0,0,13,40,7,117,6,10,1,0,0,62,0,9,0.0,2023-2024
125,Oliver Christensen,DEN,['GK'],Fiorentina,24,1999,4.0,0,0,0,2,1,0,0,0,0,0,2,0,8,0,0,,2023-2024
126,Samuel Chukwueze,NGA,['FW'],Milan,24,1999,11.3,1,0,0,7,12,7,20,6,7,0,0,0,59,9,17,34.6,2023-2024
127,Alphadjo Cissè,ITA,['FW'],Hellas Verona,16,2006,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
128,Giorgio Cittadini,ITA,['DF'],Monza,21,2002,0.2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,2023-2024
129,Giorgio Cittadini,ITA,['DF'],Genoa,21,2002,1.2,0,0,0,2,4,0,0,3,4,0,0,0,8,2,4,33.3,2023-2024
130,Patrick Ciurria,ITA,"['DF', 'MF']",Monza,28,1995,17.8,2,0,0,29,14,4,53,9,18,0,1,0,56,7,9,43.8,2023-2024
131,Lorenzo Colombo,ITA,['FW'],Monza,21,2002,15.1,3,0,0,25,24,6,2,0,12,0,0,0,35,19,64,22.9,2023-2024
132,Andrea Colpani,ITA,"['MF', 'FW']",Monza,24,1999,29.5,1,0,0,23,44,2,111,14,15,0,0,0,86,9,25,26.5,2023-2024
133,Pietro Comuzzo,ITA,"['DF', 'FW']",Fiorentina,18,2005,0.5,1,0,0,1,0,0,0,1,1,0,0,0,5,8,3,72.7,2023-2024
134,Andrea Consigli,ITA,['GK'],Sassuolo,36,1987,35.0,1,0,0,0,3,0,0,1,0,0,0,0,32,7,0,100.0,2023-2024
