Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
563,Hamari Traoré,MLI,['DF'],Real Sociedad,31,1992,25.5,7,0,0,32,18,1,47,24,19,0,1,0,136,29,35,45.3,2023-2024
564,Óscar Trejo,ARG,"['FW', 'MF']",Rayo Vallecano,35,1988,15.3,4,1,0,40,40,3,23,5,15,1,0,0,92,14,19,42.4,2023-2024
565,Manu Trigueros,ESP,['MF'],Villarreal,31,1991,3.4,0,0,0,5,3,1,5,3,5,0,0,0,15,4,1,80.0,2023-2024
566,Viktor Tsyhankov,UKR,"['MF', 'FW']",Girona,25,1997,22.8,0,0,0,14,41,4,62,12,20,0,1,0,88,13,14,48.1,2023-2024
567,Beñat Turrientes,ESP,['MF'],Real Sociedad,21,2002,18.7,4,0,0,36,36,0,19,6,17,0,0,0,81,16,31,34.0,2023-2024
568,Enes Ünal,TUR,"['FW', 'MF']",Getafe,26,1997,1.6,0,0,0,5,5,4,1,0,0,0,0,0,5,3,13,18.8,2023-2024
569,Myrto Uzuni,ALB,['FW'],Granada,28,1995,27.2,3,0,0,26,19,18,11,4,14,0,0,0,59,11,59,15.7,2023-2024
570,Óscar Valentín,ESP,['MF'],Rayo Vallecano,28,1994,29.9,7,1,1,77,41,0,5,35,66,0,0,0,160,33,50,39.8,2023-2024
571,Martin Valjent,SVK,['DF'],Mallorca,27,1995,26.1,5,0,0,29,10,2,18,29,18,0,0,0,97,46,24,65.7,2023-2024
572,Jesús Vallejo,ESP,['DF'],Granada,26,1997,1.2,1,0,0,2,1,0,0,0,1,0,0,0,8,0,1,0.0,2023-2024
573,Álvaro Vallés,ESP,['GK'],Las Palmas,26,1997,36.3,2,1,0,1,6,0,1,0,2,0,0,0,73,8,2,80.0,2023-2024
574,Federico Valverde,URU,['MF'],Real Madrid,25,1998,32.3,2,0,0,19,15,0,30,43,34,0,0,0,160,21,10,67.7,2023-2024
575,Siebe Van Der Heyden,BEL,['DF'],Mallorca,25,1998,3.2,2,1,0,8,1,1,0,7,2,0,0,0,10,8,6,57.1,2023-2024
576,José Luis García Vayá,ESP,['MF'],Valencia,24,1998,36.7,4,0,0,51,40,1,147,49,53,0,1,0,244,57,42,57.6,2023-2024
577,Borja Vázquez,ESP,['FW'],Cádiz,18,2005,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2023-2024
578,Jesus Vazquez,ESP,"['DF', 'MF']",Valencia,20,2003,8.0,1,0,0,8,7,1,18,3,12,0,0,0,47,12,19,38.7,2023-2024
579,Kevin Vázquez,ESP,['DF'],Celta Vigo,30,1993,7.8,3,0,0,11,10,0,8,5,13,0,1,0,29,10,8,55.6,2023-2024
580,Lucas Vázquez,ESP,['DF'],Real Madrid,32,1991,15.8,0,0,0,22,25,5,47,12,25,1,0,0,78,4,6,40.0,2023-2024
581,Gabriel Veiga,ESP,['FW'],Celta Vigo,21,2002,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,2023-2024
582,Alejo Véliz,ARG,['FW'],Sevilla,19,2003,0.4,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,75.0,2023-2024
