Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
David Carmo,D,NTG,25,2024,2028,5,,
Welington Santos,D,SOU,23,2024,,,,
Angelo Ogbonna,D,WAT,36,2024,2024,1,,
Aaron Ramsdale,GK,SOU,26,2024,2028,4,"£31,200,000","£7,800,000"
Giorgi Mamardashvili,GK,LIV,23,2024,2030,6,"£30,940,000","£5,156,667"
David Raya,GK,ARS,28,2024,2027,4,"£20,800,000","£5,200,000"
Filip Jorgensen,GK,CHE,22,2024,2030,7,"£18,200,000","£2,600,000"
Antonín Kinský,GK,TOT,21,2024,2030,6,"£9,360,000","£1,560,000"
Stefan Ortega,GK,MCI,31,2024,2025,2,"£9,360,000","£4,680,000"
Sam Johnstone,GK,WLV,31,2024,2027,3,"£7,800,000","£2,600,000"
Arijanet Muric,GK,IPS,25,2024,2027,4,"£7,280,000","£1,820,000"
Alex McCarthy,GK,SOU,34,2024,2025,2,"£4,160,000","£2,080,000"
Mike Penders,GK,CHE,19,2024,2031,8,"£4,160,000","£520,000"
Daniel Bentley,GK,WLV,31,2024,2026,3,"£3,120,000","£1,040,000"
Brandon Austin,GK,TOT,25,2024,2028,4,"£3,120,000","£780,000"
Carlos Miguel,GK,NTG,25,2024,2027,4,"£3,120,000","£780,000"
Alex Palmer,GK,IPS,28,2024,2027,4,"£2,496,000","£624,000"
Christian Walton,GK,IPS,28,2024,2025,2,"£2,080,000","£1,040,000"
Joe Gauci,GK,AVA,24,2024,2027,4,"£2,080,000","£520,000"
Scott Carson,GK,MCI,38,2024,2024,1,"£1,560,000","£1,560,000"
Matthew Cox,GK,BRE,21,2024,2027,4,"£1,456,000","£364,000"
Václav Hladky,GK,BUR,34,2024,2025,2,"£1,040,000","£520,000"
Cieran Slicker,GK,IPS,22,2024,2027,4,"£624,000","£156,000"
Harry Tyrer,GK,EVE,23,2024,2025,2,"£156,000","£78,000"
Alex Paulsen,GK,BOU,22,2024,2027,4,,
James Shea,GK,LUT,32,2024,2024,1,,
Ben Winterbottom,GK,BRE,22,2024,2026,1,,
