Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Siriki Dembélé,F,BRC,26,2023,2025,3,,
Sone Aluko,F,IPS,35,2023,2023,1,,
Nazariy Rusyn,F,SUN,26,2023,2026,4,,
Kai Havertz,M,ARS,24,2023,2027,5,"£72,800,000","£14,560,000"
Moises Caicedo,M,CHE,21,2023,2030,8,"£62,400,000","£7,800,000"
Martin Ødegaard,M,ARS,24,2023,2027,5,"£62,400,000","£12,480,000"
James Maddison,M,TOT,26,2023,2027,5,"£44,200,000","£8,840,000"
Bruno Guimarães,M,NEW,25,2023,2027,5,"£41,600,000","£8,320,000"
Alexis Mac Allister,M,LIV,24,2023,2027,5,"£39,000,000","£7,800,000"
Ryan Gravenberch,M,LIV,21,2023,2027,5,"£39,000,000","£7,800,000"
Matheus Nunes,M,MCI,25,2023,2027,5,"£33,800,000","£6,760,000"
Youri Tielemans,M,AVA,26,2023,2026,4,"£31,200,000","£7,800,000"
Mateo Kovacic,M,MCI,29,2023,2026,4,"£31,200,000","£7,800,000"
Sandro Tonali,M,NEW,23,2023,2027,5,"£31,200,000","£6,240,000"
Dominik Szoboszlai,M,LIV,22,2023,2027,5,"£31,200,000","£6,240,000"
Edson Álvarez,M,WHU,25,2023,2027,5,"£26,000,000","£5,200,000"
John McGinn,M,AVA,28,2023,2026,4,"£24,960,000","£6,240,000"
James Ward-Prowse,M,WHU,28,2023,2026,4,"£23,920,000","£5,980,000"
Pape Sarr,M,TOT,21,2023,2029,6,"£21,840,000","£3,640,000"
Harvey Barnes,M,NEW,25,2023,2027,5,"£20,800,000","£4,160,000"
Reiss Nelson,M,ARS,23,2023,2026,4,"£20,800,000","£5,200,000"
Ibrahim Sangare,M,NTG,25,2023,2027,5,"£19,500,000","£3,900,000"
Roméo Lavia,M,CHE,19,2023,2029,7,"£16,380,000","£2,340,000"
Tyler Adams,M,BOU,24,2023,2027,5,"£15,600,000","£3,120,000"
Oscar Bobb,M,MCI,20,2023,2028,5,"£15,600,000","£3,120,000"
Harry Winks,M,LEI,27,2023,2025,3,"£14,040,000","£4,680,000"
Tomas Soucek,M,WHU,28,2023,2026,3,"£14,040,000","£4,680,000"
Valentino Livramento,M,NEW,20,2023,2027,5,"£13,000,000","£2,600,000"
Hamed Traorè,M,BOU,23,2023,2027,5,"£11,700,000","£2,340,000"
Boubacar Traoré,M,WLV,21,2023,2026,4,"£11,440,000","£2,860,000"
Adam Wharton,M,CRY,19,2023,2028,6,"£10,920,000","£1,820,000"
Jefferson Lerma,M,CRY,28,2023,2026,3,"£10,920,000","£3,640,000"
Matheus França,M,CRY,19,2023,2027,5,"£10,400,000","£2,080,000"
Alex Scott,M,BOU,19,2023,2027,5,"£10,400,000","£2,080,000"
Ryan Christie,M,BOU,28,2023,2026,4,"£10,400,000","£2,600,000"
Wataru Endo,M,LIV,30,2023,2026,4,"£10,400,000","£2,600,000"
Hamza Choudhury,M,LEI,27,2023,2026,4,"£10,400,000","£2,600,000"
Romain Faivre,M,BOU,24,2023,2027,5,"£9,100,000","£1,820,000"
Nicolás Dominguez,M,NTG,25,2023,2027,5,"£9,100,000","£1,820,000"
Ethan Ampadu,M,LEE,22,2023,2026,4,"£8,320,000","£2,080,000"
Solly March,M,BRH,28,2023,2026,3,"£7,800,000","£2,600,000"
Aaron Ramsey,M,BUR,20,2023,2027,5,"£6,500,000","£1,300,000"
Gustavo Hamer,M,SHU,26,2023,2026,4,"£6,240,000","£1,560,000"
Vini Souza,M,SHU,24,2023,2026,4,"£6,240,000","£1,560,000"
Tom Davies,M,SHU,25,2023,2025,3,"£4,680,000","£1,560,000"
Marvelous Nakamba,M,LUT,29,2023,2025,3,"£4,680,000","£1,560,000"
Jeremy Sarmiento,M,BRH,21,2023,2027,4,"£4,160,000","£1,040,000"
Claudio Echeverri,M,MCI,18,2023,2027,5,"£3,900,000","£780,000"
Will Smallbone,M,SOU,24,2023,2025,3,"£3,900,000","£1,300,000"
Carlos Baleba,M,BRH,19,2023,2028,5,"£3,250,000","£650,000"
Illia Gruev,M,LEE,25,2023,2026,4,"£3,120,000","£780,000"
Andros Townsend,M,LUT,32,2023,2025,3,"£3,120,000","£1,040,000"
Luke Harris,M,FUL,18,2023,2026,3,"£1,950,000","£650,000"
Anis Slimane,M,SHU,22,2023,2025,3,"£1,950,000","£650,000"
Patrick Roberts,M,SUN,25,2023,2025,3,"£1,950,000","£650,000"
Jesurun Rak-Sakyi,M,CRY,,2023,2026,4,"£1,560,000","£390,000"
Shea Charles,M,SOU,20,2023,2026,4,"£1,248,000","£312,000"
Ben Osborn,M,SHU,28,2023,2023,1,"£1,040,000","£1,040,000"
Jack Taylor,M,IPS,25,2023,2025,3,"£780,000","£260,000"
Nectarios Triantis,M,SUN,22,2023,2026,5,"£780,000","£156,000"
Joe White,M,NEW,22,2023,2026,4,"£624,000","£156,000"
Massimo Luongo,M,IPS,31,2023,2024,2,"£520,000","£260,000"
Luke Berry,M,LUT,30,2023,2023,1,"£520,000","£520,000"
Wanya Marcal-Madivadua,M,LEI,21,2023,2025,3,"£468,000","£156,000"
Ryan Trevitt,M,BRE,20,2023,2026,3,"£390,000","£130,000"
Oliver Arblaster,M,SHU,19,2023,2027,5,,
Ben Pearson,M,STK,28,2023,2026,4,,
Pierre Ekwah,M,SUN,23,2023,2026,4,,
Declan Rice,D,ARS,24,2023,2028,5,"£62,400,000","£12,480,000"
Josko Gvardiol,D,MCI,21,2023,2027,5,"£52,000,000","£10,400,000"
Luke Shaw,D,MUN,27,2023,2026,4,"£31,200,000","£7,800,000"
Levi Colwill,D,CHE,20,2023,2028,6,"£31,200,000","£5,200,000"
Radu Dragusin,D,TOT,22,2023,2029,7,"£30,940,000","£4,420,000"
Pau Torres,D,AVA,26,2023,2027,5,"£26,000,000","£5,200,000"
Destiny Udogie,D,TOT,21,2023,2029,6,"£23,400,000","£3,900,000"
Jurrien Timber,D,ARS,22,2023,2027,5,"£23,400,000","£4,680,000"
Pedro Porro,D,TOT,23,2023,2027,5,"£22,100,000","£4,420,000"
Diogo Dalot,D,MUN,24,2023,2028,5,"£22,100,000","£4,420,000"
Ezri Konsa,D,AVA,25,2023,2027,5,"£19,500,000","£3,900,000"
Timothy Castagne,D,FUL,27,2023,2026,4,"£13,520,000","£3,380,000"
Konstantinos Mavropanos,D,WHU,25,2023,2027,5,"£13,000,000","£2,600,000"
Lewis Dunk,D,BRH,31,2023,2025,3,"£12,480,000","£4,160,000"
Axel Disasi,D,CHE,25,2023,2028,6,"£12,480,000","£2,080,000"
Conor Coady,D,LEI,30,2023,2025,3,"£11,700,000","£3,900,000"
Konstantinos Tsimikas,D,LIV,27,2023,2026,4,"£10,400,000","£2,600,000"
Kristoffer Ajer,D,BRE,25,2023,2027,5,"£10,400,000","£2,080,000"
Nathan Collins,D,BRE,22,2023,2030,6,"£9,360,000","£1,560,000"
Igor de Paulo,D,BRH,25,2023,2026,4,"£9,360,000","£2,340,000"
Calvin Bassey,D,FUL,23,2023,2026,4,"£9,360,000","£2,340,000"
Matt Doherty,D,WLV,31,2023,2025,3,"£7,800,000","£2,600,000"
Rico Lewis,D,MCI,18,2023,2029,5,"£6,500,000","£1,300,000"
Ethan Pinnock,D,BRE,30,2023,2026,4,"£6,240,000","£1,560,000"
Jamaal Lascelles,D,NEW,31,2023,2025,3,"£6,240,000","£2,080,000"
Auston Trusty,D,SHU,24,2023,2026,4,"£5,200,000","£1,300,000"
Jack Stephens,D,SOU,30,2023,2024,2,"£4,680,000","£2,340,000"
Jan Paul van Hecke,D,BRH,23,2023,2026,3,"£4,680,000","£1,560,000"
Ryan Manning,D,SOU,27,2023,2026,4,"£3,120,000","£780,000"
Jack Robinson,D,SHU,29,2023,2024,2,"£2,600,000","£1,300,000"
Igor Julio,D,BRH,27,2023,2026,1,"£2,340,000","£2,340,000"
Ryan Giles,D,HUL,23,2023,2023,1,"£1,820,000","£1,820,000"
Jenson Seelt,D,SUN,22,2023,2027,5,"£780,000","£156,000"
Mads Andersen,D,LUT,25,2023,2023,1,"£780,000","£780,000"
Jordan Beyer,D,BUR,23,2023,2026,4,"£624,000","£156,000"
Dan Potts,D,LUT,29,2023,2023,1,"£520,000","£520,000"
Kaelan Casey,D,WHU,20,2023,2026,4,"£520,000","£130,000"
Owen Dodgson,D,BUR,22,2023,2026,4,"£520,000","£130,000"
Teden Mengi,D,LUT,21,2023,2023,1,"£520,000","£520,000"
Yasser Larouci,D,SHU,22,2023,2023,1,"£520,000","£520,000"
Gabriel Osho,D,LUT,24,2023,2023,1,"£520,000","£520,000"
Shane Duffy,D,NOR,31,2023,,,,
Daiki Hashioka,D,LUT,,2023,2023,1,,
Enda Stevens,D,STK,32,2023,2023,1,,
Eikan Baggott,D,IPS,21,2023,2024,2,,
Dimitrios Goutas,D,CDF,29,2023,2024,2,,
Sonny Bradley,D,DRB,31,2023,2024,2,,
Jack Stacey,D,NOR,27,2023,,,,
André Onana,GK,MUN,27,2023,2028,5,"£31,200,000","£6,240,000"
Dean Henderson,GK,CRY,26,2023,2027,5,"£26,000,000","£5,200,000"
Robert Sánchez,GK,CHE,25,2023,2029,7,"£21,840,000","£3,120,000"
Guglielmo Vicario,GK,TOT,26,2023,2027,5,"£19,500,000","£3,900,000"
Bart Verbruggen,GK,BRH,20,2023,2027,5,"£9,100,000","£1,820,000"
Altay Bayindir,GK,MUN,25,2023,2026,4,"£7,280,000","£1,820,000"
Ivo Grbic,GK,SHU,28,2023,2026,4,"£5,200,000","£1,300,000"
Karl Darlow,GK,LEE,32,2023,2025,3,"£4,680,000","£1,560,000"
Hákon Rafn Valdimarsson,GK,BRE,22,2023,2028,5,"£3,120,000","£624,000"
Joe Whitworth,GK,CRY,19,2023,2026,4,"£2,080,000","£520,000"
Ellery Balcombe,GK,BRE,23,2023,2026,4,"£2,080,000","£520,000"
Steven Benda,GK,FUL,24,2023,2025,3,"£1,560,000","£520,000"
Thomas Kaminski,GK,LUT,30,2023,2023,1,"£1,300,000","£1,300,000"
Tim Krul,GK,LUT,35,2023,2023,1,"£1,300,000","£1,300,000"
Carl Rushworth,GK,BRH,22,2023,2026,4,"£624,000","£156,000"
Asmir Begovic,GK,QPR,36,2023,2023,1,,
