Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
76,Rasmus Carstensen,DEN,"['DF', 'FW']",Köln,22,2000,18.4,2,1,1,22,13,3,58,20,22,0,1,0,95,16,19,45.7,2023-2024
77,Fabio Carvalho,POR,['MF'],RB Leipzig,20,2002,1.8,0,0,0,0,3,0,6,0,1,0,0,0,12,2,3,40.0,2023-2024
78,Koen Casteels,BEL,['GK'],Wolfsburg,31,1992,25.0,2,0,0,1,3,0,0,0,1,0,1,0,33,8,0,100.0,2023-2024
79,Václav Černý,CZE,"['FW', 'MF']",Wolfsburg,25,1997,10.2,2,0,0,9,0,4,33,8,3,0,0,0,58,1,6,14.3,2023-2024
80,Julian Chabot,GER,['DF'],Köln,25,1998,30.0,9,1,1,28,42,4,4,45,42,0,0,0,149,101,38,72.7,2023-2024
81,El Chadaille Bitshiabu,FRA,"['DF', 'MF']",RB Leipzig,18,2005,0.4,0,0,0,0,0,0,2,1,0,0,0,0,6,0,3,0.0,2023-2024
82,Fares Chaïbi,ALG,"['MF', 'FW']",Eint Frankfurt,20,2002,21.2,2,0,0,14,11,9,176,5,17,0,0,0,66,10,56,15.2,2023-2024
83,Timothy Chandler,USA,"['MF', 'DF']",Eint Frankfurt,33,1990,0.2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,66.7,2023-2024
84,Fabio Chiarodia,ITA,['DF'],Gladbach,18,2005,1.7,0,0,0,1,0,0,1,3,5,0,1,0,4,5,3,62.5,2023-2024
85,Jacob Christensen,DEN,['MF'],Köln,22,2001,2.4,1,0,0,4,0,0,5,4,6,0,0,0,18,0,5,0.0,2023-2024
86,Nnamdi Collins,GER,['DF'],Eint Frankfurt,19,2004,1.0,0,0,0,0,1,0,2,2,0,0,0,0,7,0,2,0.0,2023-2024
87,Kingsley Coman,FRA,['FW'],Bayern Munich,27,1996,12.4,1,0,0,6,19,1,60,2,7,0,0,0,50,6,5,54.5,2023-2024
88,Bambasé Conté,GER,"['MF', 'FW']",Hoffenheim,20,2003,0.5,0,0,0,3,6,0,1,0,3,0,0,0,7,1,1,50.0,2023-2024
