Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,Blocks,blocked_Sh,blocked_Pass,Int,Tkl+Int,Clr,Err,Season
142,Ousmane Dembélé,FRA,['FW'],Barcelona,25,1997,15.7,19,12,4,8,7,4,15,26.7,11,10,1,9,0,19,2,0,2022-2023
143,Mouctar Diakhaby,GUI,['DF'],Valencia,25,1996,27.2,30,16,19,11,0,13,20,65.0,7,30,17,13,20,50,111,2,2022-2023
144,Mamady Diarra,MLI,"['MF', 'DF']",Cádiz,22,2000,0.7,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,0,0,2022-2023
145,Youba Diarra,MLI,['MF'],Cádiz,24,1998,1.1,3,0,2,1,0,1,5,20.0,4,7,1,6,2,5,3,0,2022-2023
146,Stole Dimitrievski,MKD,['GK'],Rayo Vallecano,28,1993,36.9,1,0,1,0,0,1,2,50.0,1,2,0,2,1,2,17,3,2022-2023
147,Djené,TOG,['DF'],Getafe,30,1991,31.6,41,28,23,17,1,22,38,57.9,16,25,10,15,42,83,81,1,2022-2023
148,Marko Dmitrović,SRB,['GK'],Sevilla,30,1992,14.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,2022-2023
149,Matt Doherty,IRL,['DF'],Atlético Madrid,30,1992,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,2022-2023
150,Kasper Dolberg,DEN,['FW'],Sevilla,24,1997,2.2,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,5,0,2022-2023
151,Carlos Dominguez,ESP,['DF'],Celta Vigo,21,2001,1.2,1,1,0,1,0,1,2,50.0,1,1,1,0,0,1,7,0,2022-2023
152,John Donald,ESP,"['MF', 'DF']",Elche,21,2000,12.1,20,11,9,9,2,7,14,50.0,7,14,7,7,14,34,23,1,2022-2023
153,Domingos Duarte,POR,['DF'],Getafe,27,1995,29.5,26,18,21,5,0,19,26,73.1,7,29,23,6,39,65,145,0,2022-2023
154,Pablo Durán,ESP,"['MF', 'DF']",Celta Vigo,21,2001,0.4,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0,2022-2023
155,Hugo Duro,ESP,['FW'],Valencia,22,1999,15.4,15,12,2,6,7,7,17,41.2,10,11,1,10,2,17,7,1,2022-2023
156,Íñigo Eguaras,ESP,['MF'],Almería,30,1992,10.7,11,8,4,6,1,5,18,27.8,13,9,3,6,6,17,15,0,2022-2023
157,Aritz Elustondo,ESP,['DF'],Real Sociedad,28,1994,16.1,26,17,15,10,1,14,26,53.8,12,15,6,9,20,46,43,1,2022-2023
158,Rodrigo Ely,BRA,['DF'],Almería,28,1993,35.1,30,21,26,4,0,18,25,72.0,7,46,33,13,31,61,203,1,2022-2023
159,Adri Embarba,ESP,"['FW', 'MF']",Almería,30,1992,16.4,50,27,21,26,3,22,46,47.8,24,23,0,23,9,59,9,0,2022-2023
