Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Season
Orel Mangala,BEL,['MF'],Everton,26,1998,19,14,"1,261",14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,2024-2025
Ryan Manning,IRL,"['DF', 'MF']",Southampton,28,1996,24,18,"1,462",16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,2024-2025
Solly March,ENG,"['FW', 'MF']",Brighton,30,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,2024-2025
Omar Marmoush,EGY,"['FW', 'MF']",Manchester City,25,1999,16,14,"1,175",13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,2024-2025
Gabriel Martinelli,BRA,"['FW', 'MF']",Arsenal,23,2001,33,25,"2,290",25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,2024-2025
Emiliano Martínez,ARG,['GK'],Aston Villa,31,1992,37,37,"3,194",35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,2024-2025
Lisandro Martínez,ARG,['DF'],Manchester Utd,26,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,2024-2025
Pape Matar Sarr,SEN,['MF'],Tottenham,21,2002,36,22,"1,913",21.3,3,2,5,3,0,0,6,0,3.7,3.7,1.6,5.3,33,88,53,2024-2025
Jean-Philippe Mateta,FRA,['FW'],Crystal Palace,27,1997,37,33,"2,648",29.4,14,2,16,12,2,2,2,0,13.5,11.9,3.2,15.1,45,52,122,2024-2025
Stephy Mavididi,ENG,['FW'],Leicester City,26,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,2024-2025
Konstantinos Mavropanos,GRE,['DF'],West Ham,26,1997,33,21,"2,045",22.7,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2.0,17,61,2,2024-2025
Noussair Mazraoui,MAR,['DF'],Manchester Utd,26,1997,37,34,"2,838",31.5,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,42,115,58,2024-2025
Bryan Mbeumo,CMR,['FW'],Brentford,24,1999,38,38,"3,414",37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,2024-2025
James Mcatee,ENG,"['MF', 'FW']",Manchester City,21,2002,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,2024-2025
Kasey McAteer,IRL,['FW'],Leicester City,22,2001,18,9,852,9.5,1,1,2,1,0,0,3,0,1.0,1.0,0.7,1.7,19,14,71,2024-2025
Alex McCarthy,ENG,['GK'],Southampton,34,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
John McGinn,SCO,"['MF', 'FW']",Aston Villa,29,1994,34,27,"2,223",24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,2024-2025
Dwight McNeil,ENG,"['MF', 'FW']",Everton,24,1999,21,15,"1,371",15.2,4,6,10,4,0,0,1,0,1.1,1.1,5.2,6.3,38,69,80,2024-2025
Scott McTominay,SCO,['MF'],Manchester Utd,27,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,2024-2025
Ben Mee,ENG,['DF'],Brentford,34,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,2024-2025
Jayden Meghoma,ENG,['DF'],Brentford,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Mikel Merino,ESP,"['MF', 'FW']",Arsenal,28,1996,28,17,"1,586",17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,2024-2025
Shumaira Mheuka,ENG,['MF'],Chelsea,16,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,2024-2025
Nikola Milenković,SRB,['DF'],Nott'ham Forest,26,1997,37,37,"3,330",37.0,5,2,7,5,0,0,4,0,4.0,4.0,1.1,5.1,3,51,6,2024-2025
Lewis Miley,ENG,['MF'],Newcastle Utd,18,2006,14,1,313,3.5,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,2,17,8,2024-2025
James Milner,ENG,['MF'],Brighton,38,1986,4,3,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,2024-2025
Tyrone Mings,ENG,['DF'],Aston Villa,31,1993,14,12,"1,120",12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,40,1,2024-2025
Yankuba Minteh,GAM,"['FW', 'MF']",Brighton,20,2004,32,20,"1,838",20.4,6,4,10,6,0,0,6,0,4.1,4.1,5.0,9.1,90,48,201,2024-2025
Tyrick Mitchell,ENG,['DF'],Crystal Palace,24,1999,37,37,"3,092",34.4,0,5,5,0,0,0,2,0,1.3,1.3,6.4,7.7,63,70,171,2024-2025
Kaoru Mitoma,JPN,"['FW', 'MF']",Brighton,27,1997,36,28,"2,603",28.9,10,4,14,10,0,0,1,0,9.2,9.2,4.6,13.8,146,89,291,2024-2025
Jakub Moder,POL,['MF'],Brighton,25,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,2024-2025
Jeremy Monga,[],"['FW', 'MF']",Leicester City,15,2009,7,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,3,10,2024-2025
Mikey Moore,ENG,['FW'],Tottenham,16,2007,10,3,366,4.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,12,9,40,2024-2025
Morato,BRA,['DF'],Nott'ham Forest,23,2001,26,6,907,10.1,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,1,19,1,2024-2025
Álex Moreno,ESP,"['DF', 'MF']",Nott'ham Forest,31,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,2024-2025
Sam Morsy,EGY,['MF'],Ipswich Town,32,1991,33,31,"2,751",30.6,1,1,2,1,0,0,10,0,0.4,0.4,1.2,1.6,22,120,13,2024-2025
Yerson Mosquera,COL,['DF'],Wolves,23,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,2024-2025
Mason Mount,ENG,['MF'],Manchester Utd,25,1999,17,8,622,6.9,1,0,1,1,0,0,3,0,3.2,3.2,0.6,3.8,15,33,41,2024-2025
Divin Mubama,ENG,['FW'],Manchester City,19,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,2024-2025
Mykhailo Mudryk,UKR,['FW'],Chelsea,23,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,2024-2025
Marshall Munetsi,ZIM,"['MF', 'FW']",Wolves,28,1996,14,12,"1,078",12.0,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,9,10,35,2024-2025
Rodrigo Muniz,BRA,['FW'],Fulham,23,2001,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,2024-2025
Daniel Muñoz,COL,['DF'],Crystal Palace,28,1996,37,37,"3,228",35.9,4,5,9,4,0,0,10,0,4.9,4.9,5.5,10.5,62,97,206,2024-2025
Arijanet Muric,KVX,['GK'],Ipswich Town,25,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,2024-2025
Murillo,BRA,['DF'],Nott'ham Forest,22,2002,36,36,"3,188",35.4,2,0,2,2,0,0,6,0,1.4,1.4,1.2,2.6,22,115,5,2024-2025
Jacob Murphy,ENG,['FW'],Newcastle Utd,29,1995,35,31,"2,360",26.2,8,12,20,8,0,0,4,0,5.7,5.7,8.9,14.6,79,83,231,2024-2025
Vitaliy Mykolenko,UKR,['DF'],Everton,25,1999,35,35,"3,082",34.2,1,2,3,1,0,0,4,0,0.5,0.5,2.6,3.1,33,110,99,2024-2025
Iliman Ndiaye,SEN,['FW'],Everton,24,2000,33,29,"2,430",27.0,9,0,9,7,2,2,3,0,6.2,4.7,1.9,6.5,86,59,122,2024-2025
Wilfred Ndidi,NGA,['MF'],Leicester City,27,1996,28,28,"2,324",25.8,0,5,5,0,0,0,8,0,2.0,2.0,1.9,3.9,18,70,75,2024-2025
Kosta Nedeljković,SRB,['DF'],Aston Villa,18,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,2024-2025
Reiss Nelson,ENG,['FW'],Arsenal,24,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Reiss Nelson,ENG,['FW'],Fulham,24,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,2024-2025
Neto,BRA,['GK'],Bournemouth,35,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Pedro Neto,POR,['FW'],Chelsea,24,2000,35,24,"2,269",25.2,4,6,10,4,0,0,8,0,3.5,3.5,6.7,10.2,126,60,253,2024-2025
Eddie Nketiah,ENG,"['FW', 'MF']",Crystal Palace,25,1999,29,9,"1,034",11.5,3,1,4,3,0,0,6,1,5.8,5.8,1.7,7.4,41,19,79,2024-2025
Christopher Nkunku,FRA,['FW'],Chelsea,26,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,2024-2025
Gustavo Nunes,BRA,"['FW', 'MF']",Brentford,18,2005,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,2024-2025
Matheus Nunes,POR,"['DF', 'MF']",Manchester City,25,1998,26,19,"1,674",18.6,1,6,7,1,0,0,4,0,1.2,1.2,4.4,5.6,63,79,175,2024-2025
Darwin Núñez,URU,['FW'],Liverpool,25,1999,30,8,"1,133",12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,2024-2025
Ethan Nwaneri,ENG,"['FW', 'MF']",Arsenal,17,2007,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,2024-2025
Christian Nørgaard,DEN,['MF'],Brentford,30,1994,34,34,"2,819",31.3,5,4,9,5,0,0,8,1,4.3,4.3,1.3,5.6,14,154,42,2024-2025
Jake O'Brien,IRL,['DF'],Everton,23,2001,20,17,"1,571",17.5,2,0,2,2,0,0,5,0,0.8,0.8,0.6,1.3,7,50,25,2024-2025
Matt O'Riley,DEN,['MF'],Brighton,23,2000,21,11,938,10.4,2,2,4,1,1,1,1,0,2.8,2.0,2.4,4.4,22,38,52,2024-2025
Dara O'Shea,IRL,['DF'],Ipswich Town,25,1999,35,35,"3,122",34.7,0,2,2,0,0,0,6,0,1.3,1.3,0.5,1.8,3,80,8,2024-2025
Chidozie Obi-Martin,DEN,['FW'],Manchester Utd,16,2007,7,1,165,1.8,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2,1,12,2024-2025
Wilson Odobert,FRA,"['FW', 'MF']",Tottenham,19,2004,16,9,850,9.4,1,0,1,1,0,0,0,0,1.6,1.6,1.0,2.6,45,27,66,2024-2025
Chiedozie Ogbene,IRL,['FW'],Ipswich Town,27,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,2024-2025
Caleb Okoli,ITA,['DF'],Leicester City,23,2001,19,12,"1,125",12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,2024-2025
Robin Olsen,SWE,['GK'],Aston Villa,34,1990,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Amadou Onana,BEL,['MF'],Aston Villa,22,2001,26,20,"1,617",18.0,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,2024-2025
André Onana,CMR,['GK'],Manchester Utd,28,1996,34,34,"3,060",34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,2024-2025
Paul Onuachu,NGA,['FW'],Southampton,30,1994,25,11,"1,050",11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,2024-2025
Frank Onyeka,NGA,['MF'],Brentford,26,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,2024-2025
Lewis Orford,ENG,['MF'],West Ham,18,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2024-2025
Stefan Ortega,GER,['GK'],Manchester City,31,1992,13,12,"1,100",12.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
William Osula,DEN,['FW'],Newcastle Utd,20,2003,14,0,134,1.5,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,5,4,17,2024-2025
Dango Ouattara,BFA,['FW'],Bournemouth,22,2002,32,21,"2,005",22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,2024-2025
Nico O’Reilly,ENG,['DF'],Manchester City,19,2005,9,6,528,5.9,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,26,2024-2025
Alex Palmer,ENG,['GK'],Ipswich Town,27,1996,13,13,"1,170",13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,2024-2025
Cole Palmer,ENG,"['MF', 'FW']",Chelsea,22,2002,37,36,"3,191",35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,2024-2025
Emerson Palmieri,ITA,['DF'],West Ham,29,1994,31,26,"2,113",23.5,2,1,3,2,0,0,5,0,2.0,2.0,1.5,3.4,47,66,83,2024-2025
Lucas Paquetá,BRA,"['MF', 'FW']",West Ham,26,1997,33,27,"2,380",26.4,4,0,4,2,2,2,10,0,5.3,3.7,3.1,6.8,26,155,85,2024-2025
Thomas Partey,GHA,"['MF', 'DF']",Arsenal,31,1993,35,31,"2,797",31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,2024-2025
Nathan Patterson,SCO,['DF'],Everton,22,2001,10,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,2024-2025
Andreas Pereira,BRA,['MF'],Fulham,28,1996,33,25,"2,013",22.4,2,4,6,2,0,1,7,0,3.8,3.0,4.6,7.6,29,104,81,2024-2025
Ricardo Pereira,POR,['DF'],Leicester City,30,1993,10,4,388,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,18,5,2024-2025
Kalvin Phillips,ENG,['MF'],Ipswich Town,28,1995,19,14,"1,237",13.7,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.7,4,51,4,2024-2025
Jaden Philogene Bidace,ENG,"['FW', 'MF']",Aston Villa,22,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,2024-2025
Jaden Philogene Bidace,ENG,"['FW', 'DF']",Ipswich Town,22,2002,10,5,474,5.3,2,0,2,2,0,0,1,0,2.0,2.0,0.2,2.2,13,10,36,2024-2025
Jordan Pickford,ENG,['GK'],Everton,30,1994,38,38,"3,420",38.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0,0,0,2024-2025
