Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Timo Werner,GER,['FW'],Tottenham,27,1996,13,10,809,9.0,2,3,5,2,0,0,1,0,3.7,3.7,2.7,6.4,2023-2024
Adam Wharton,ENG,['MF'],Crystal Palace,19,2004,16,15,"1,297",14.4,0,3,3,0,0,0,2,0,0.3,0.3,2.4,2.8,2023-2024
Ethan Wheatley,ENG,['FW'],Manchester Utd,17,2006,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Ben White,ENG,['DF'],Arsenal,25,1997,37,35,"2,988",33.2,4,4,8,4,0,0,8,0,1.2,1.2,3.8,5.0,2023-2024
Joe White,ENG,['MF'],Newcastle Utd,20,2002,4,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Neco Williams,WAL,['DF'],Nott'ham Forest,22,2001,26,18,"1,637",18.2,0,1,1,0,0,0,4,0,0.8,0.8,1.6,2.5,2023-2024
Willian,BRA,['FW'],Fulham,34,1988,31,24,"2,053",22.8,4,2,6,2,2,2,1,0,5.1,3.6,3.9,7.5,2023-2024
Joe Willock,ENG,['MF'],Newcastle Utd,23,1999,9,5,419,4.7,1,0,1,1,0,0,0,0,0.8,0.8,0.6,1.4,2023-2024
Callum Wilson,ENG,['FW'],Newcastle Utd,31,1992,20,9,991,11.0,9,1,10,7,2,2,3,0,8.8,7.2,0.6,7.8,2023-2024
Harry Wilson,WAL,['FW'],Fulham,26,1997,35,16,"1,620",18.0,4,6,10,4,0,0,6,0,3.4,3.4,3.5,6.8,2023-2024
Yoane Wissa,COD,['FW'],Brentford,26,1996,34,29,"2,493",27.7,12,3,15,12,0,0,7,0,10.6,10.6,3.9,14.5,2023-2024
Chris Wood,NZL,['FW'],Nott'ham Forest,31,1991,31,20,"1,812",20.1,14,1,15,14,0,0,0,0,11.9,11.9,2.1,14.0,2023-2024
Cauley Woodrow,ENG,"['FW', 'MF']",Luton Town,28,1994,24,2,427,4.7,1,1,2,1,0,0,2,0,1.4,1.4,1.2,2.6,2023-2024
Joe Worrall,ENG,['DF'],Nott'ham Forest,26,1997,7,5,439,4.9,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.3,2023-2024
Yehor Yarmoliuk,UKR,['MF'],Brentford,19,2004,27,6,688,7.6,0,0,0,0,0,0,2,0,1.0,1.0,0.1,1.1,2023-2024
Ryan Yates,ENG,['MF'],Nott'ham Forest,25,1997,35,21,"1,992",22.1,1,1,2,1,0,0,6,0,2.6,2.6,0.8,3.5,2023-2024
Ashley Young,ENG,"['DF', 'MF']",Everton,38,1985,31,27,"2,280",25.3,0,0,0,0,0,0,7,1,0.6,0.6,1.5,2.1,2023-2024
Illia Zabarnyi,UKR,['DF'],Bournemouth,20,2002,37,37,"3,330",37.0,1,0,1,1,0,0,5,0,1.1,1.1,0.4,1.5,2023-2024
Nicolò Zaniolo,ITA,"['FW', 'MF']",Aston Villa,24,1999,25,9,839,9.3,2,0,2,2,0,0,7,0,2.6,2.6,1.0,3.6,2023-2024
Anass Zaroury,MAR,"['FW', 'MF']",Burnley,22,2000,6,1,152,1.7,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,2023-2024
Oleksandr Zinchenko,UKR,['DF'],Arsenal,26,1996,27,20,"1,722",19.1,1,2,3,1,0,0,2,0,0.6,0.6,2.5,3.1,2023-2024
Kurt Zouma,FRA,['DF'],West Ham,28,1994,33,32,"2,838",31.5,3,0,3,3,0,0,3,0,1.8,1.8,0.2,2.0,2023-2024
Martin Ødegaard,NOR,['MF'],Arsenal,24,1998,35,35,"3,091",34.3,8,10,18,6,2,2,2,0,7.4,5.8,9.6,15.5,2023-2024
