Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Issa Kaboré,BFA,['DF'],Luton Town,22,2001,24,21,"1,729",19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,2023-2024
Sasa Kalajdzic,AUT,['FW'],Wolves,26,1997,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1.0,2.0,2023-2024
Boubacar Kamara,FRA,['MF'],Aston Villa,23,1999,20,20,"1,652",18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,2023-2024
Willy Kambwala,FRA,['DF'],Manchester Utd,18,2004,8,3,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Thomas Kaminski,BEL,['GK'],Luton Town,30,1992,38,38,"3,405",37.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2023-2024
Loris Karius,GER,['GK'],Newcastle Utd,30,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Michael Keane,ENG,['DF'],Everton,30,1993,9,4,439,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,2023-2024
Thilo Kehrer,GER,"['DF', 'MF']",West Ham,26,1996,4,0,22,0.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2023-2024
Caoimhín Kelleher,IRL,['GK'],Liverpool,24,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Lloyd Kelly,ENG,['DF'],Bournemouth,24,1998,23,17,"1,559",17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,2023-2024
Omari Kellyman,ENG,['FW'],Aston Villa,17,2005,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Milos Kerkez,HUN,['DF'],Bournemouth,19,2003,28,22,"1,970",21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2.0,2023-2024
Kaine Kesler-Hayden,ENG,"['MF', 'DF']",Aston Villa,20,2002,3,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Max Kilman,ENG,['DF'],Wolves,26,1997,38,38,"3,420",38.0,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,2023-2024
