Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
503,Khéphren Thuram,FRA,['MF'],Nice,22,2001,23.4,1,39,11,28.2,1.67,0.47,0.03,0.09,18.3,0,0,0,3.4,3.4,0.09,-2.4,-2.4,Matches,2023-2024
504,Cheikh Tidiane Sabaly,SEN,"['FW', 'MF']",Metz,24,1999,15.3,3,21,9,42.9,1.37,0.59,0.14,0.33,17.6,0,0,0,2.7,2.7,0.13,+0.3,+0.3,Matches,2023-2024
505,Jean-Clair Todibo,FRA,['DF'],Nice,23,1999,29.5,0,9,1,11.1,0.31,0.03,0.00,0.00,17.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,2023-2024
506,Corentin Tolisso,FRA,['MF'],Lyon,28,1994,19.3,2,38,13,34.2,1.96,0.67,0.03,0.08,18.9,1,1,1,3.2,2.4,0.06,-1.2,-1.4,Matches,2023-2024
507,Abdoulaye Touré,GUI,['MF'],Le Havre,29,1994,25.4,2,31,8,25.8,1.22,0.32,0.00,0.00,27.4,0,2,2,3.0,1.4,0.04,-1.0,-1.4,Matches,2023-2024
508,Souleymane Touré,FRA,['DF'],Lorient,20,2003,22.8,1,18,9,50.0,0.79,0.39,0.06,0.11,11.4,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches,2023-2024
509,Bénie Traoré,CIV,"['FW', 'MF']",Nantes,20,2002,5.6,0,7,4,57.1,1.25,0.71,0.00,0.00,18.7,1,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches,2023-2024
510,Daouda Traoré,FRA,['MF'],Nice,17,2006,0.2,0,1,0,0.0,5.63,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,2023-2024
511,Ismaël Traoré,CIV,['DF'],Metz,36,1986,24.7,2,10,4,40.0,0.41,0.16,0.20,0.50,11.9,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches,2023-2024
512,Adrien Truffert,FRA,['DF'],Rennes,21,2001,23.8,1,20,7,35.0,0.84,0.29,0.05,0.14,20.7,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,2023-2024
