Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
514,Adama Soumaoro,FRA,['DF'],Bologna,30,1992,20.7,1075,1021,48,47,0,1,0,1,0,0,0,0,996,6,5,2022-2023
515,Leonardo Spinazzola,ITA,['DF'],Roma,29,1993,18.4,989,806,179,14,4,14,57,165,0,0,0,0,750,4,21,2022-2023
516,Marco Sportiello,ITA,['GK'],Atalanta,30,1992,14.9,462,325,137,21,0,0,0,0,0,0,0,0,362,0,0,2022-2023
517,Petar Stojanović,SVN,['DF'],Empoli,26,1995,17.0,1029,831,197,20,3,27,35,176,1,0,1,0,821,1,27,2022-2023
518,Gabriel Strefezza,BRA,"['FW', 'MF']",Lecce,25,1997,27.1,886,805,71,19,6,23,121,17,35,15,10,0,553,10,36,2022-2023
519,Dávid Strelec,SVK,['FW'],Spezia,21,2001,1.9,43,40,3,0,0,0,0,0,0,0,0,0,25,0,2,2022-2023
520,Isaac Success,NGA,['FW'],Udinese,26,1996,20.2,570,552,11,0,9,8,13,0,0,0,0,0,372,7,23,2022-2023
521,Ibrahim Sulemana,GHA,['MF'],Hellas Verona,19,2003,7.2,183,183,0,0,0,3,2,0,0,0,0,0,133,0,7,2022-2023
522,Mile Svilar,SRB,['GK'],Roma,22,1999,3.0,77,56,21,5,0,0,0,0,0,0,0,0,49,0,0,2022-2023
523,Wojciech Szczęsny,POL,['GK'],Juventus,32,1990,27.5,789,581,206,52,0,5,0,1,0,0,0,0,625,2,1,2022-2023
524,Benjamin Tahirovic,BIH,['MF'],Roma,19,2003,3.9,156,153,3,2,0,1,5,1,0,0,0,0,133,0,3,2022-2023
525,Adrien Tameze,CMR,['MF'],Hellas Verona,28,1994,33.7,1092,1020,64,49,0,6,21,4,0,0,0,0,835,8,30,2022-2023
526,Ciprian Tătărușanu,ROU,['GK'],Milan,36,1986,16.0,560,445,111,28,0,2,0,0,0,0,0,0,434,4,0,2022-2023
527,Filippo Terracciano,ITA,"['DF', 'MF']",Hellas Verona,19,2003,9.1,343,290,51,7,1,4,25,42,2,1,1,0,235,2,12,2022-2023
528,Pietro Terracciano,ITA,['GK'],Fiorentina,32,1990,29.0,1072,796,273,75,0,2,0,0,0,0,0,0,816,3,1,2022-2023
529,Aleksa Terzić,SRB,['DF'],Fiorentina,22,1999,10.4,724,590,131,12,0,1,79,111,8,0,5,0,582,3,19,2022-2023
530,Florian Thauvin,FRA,"['FW', 'MF']",Udinese,29,1993,6.1,216,182,33,6,3,1,37,2,18,7,4,0,144,1,6,2022-2023
531,Malick Thiaw,GER,['DF'],Milan,20,2001,15.1,1056,1037,19,12,0,4,2,5,0,0,0,0,932,0,5,2022-2023
532,Kristian Thorstvedt,NOR,['MF'],Sassuolo,23,1999,12.6,488,476,12,6,2,1,10,6,0,0,0,0,372,0,15,2022-2023
533,Jeremy Toljan,GER,['DF'],Sassuolo,27,1994,29.7,1610,1299,308,33,2,10,28,275,0,0,0,0,1363,3,32,2022-2023
534,Rafael Tolói,ITA,['DF'],Atalanta,31,1990,30.9,1682,1628,48,24,2,10,22,23,0,0,0,0,1351,6,21,2022-2023
535,Fikayo Tomori,ENG,['DF'],Milan,24,1997,30.7,1922,1786,129,51,4,19,6,13,0,0,0,0,1697,7,18,2022-2023
536,Sandro Tonali,ITA,['MF'],Milan,22,2000,30.1,1565,1361,193,94,7,14,130,21,74,23,42,0,1185,11,30,2022-2023
537,Lorenzo Tonelli,ITA,['DF'],Empoli,32,1990,0.2,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,2022-2023
538,William Troost-Ekong,NGA,['DF'],Salernitana,28,1993,4.9,179,176,3,3,0,0,1,0,0,0,0,0,148,0,1,2022-2023
539,Frank Tsadjout,ITA,['FW'],Cremonese,23,1999,11.7,271,266,4,0,0,0,4,1,0,0,0,0,184,1,2,2022-2023
540,Alessandro Tuia,ITA,['DF'],Lecce,32,1990,5.7,204,193,11,10,0,6,1,0,0,0,0,0,142,0,0,2022-2023
541,Martin Turk,SVN,['GK'],Sampdoria,18,2003,4.0,142,89,53,10,0,0,0,0,0,0,0,0,89,0,0,2022-2023
542,Destiny Udogie,ITA,['DF'],Udinese,19,2002,30.0,1127,966,160,23,1,2,29,133,4,0,0,0,931,1,40,2022-2023
543,Samir Ujkani,KVX,['GK'],Empoli,34,1988,0.1,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,2022-2023
544,Samuel Umtiti,FRA,['DF'],Lecce,28,1993,23.5,868,807,57,53,0,8,2,4,0,0,0,0,724,4,12,2022-2023
545,Diego Valencia,CHI,"['MF', 'FW']",Salernitana,22,2000,2.6,75,69,6,0,0,0,5,6,0,0,0,0,52,0,3,2022-2023
546,Emanuele Valeri,ITA,['DF'],Cremonese,23,1998,30.9,1258,940,309,24,4,20,147,272,13,0,12,0,753,9,44,2022-2023
547,Mattia Valoti,ITA,"['MF', 'FW']",Monza,28,1993,5.0,166,164,1,1,0,3,2,0,0,0,0,0,122,1,4,2022-2023
548,Johan Vásquez,MEX,['DF'],Cremonese,23,1998,20.1,810,739,69,33,1,1,4,29,0,0,0,0,632,2,14,2022-2023
549,Matías Vecino,URU,['MF'],Lazio,30,1991,18.8,968,962,5,5,2,7,1,0,0,0,0,0,830,1,14,2022-2023
550,Miguel Veloso,POR,['MF'],Hellas Verona,36,1986,12.9,599,511,86,49,1,4,62,6,29,17,9,1,429,2,12,2022-2023
551,Lorenzo Venuti,ITA,['DF'],Fiorentina,27,1995,10.3,609,501,106,12,0,3,37,87,7,0,5,0,497,2,16,2022-2023
552,Daniele Verde,ITA,"['FW', 'MF']",Spezia,26,1996,11.1,443,348,93,18,1,6,68,18,37,20,12,0,312,2,8,2022-2023
553,Simone Verdi,ITA,"['MF', 'FW']",Hellas Verona,30,1992,12.2,414,331,79,17,5,7,77,5,40,22,13,0,270,4,26,2022-2023
554,Valerio Verre,ITA,['MF'],Sampdoria,28,1994,7.5,398,361,33,16,3,2,33,4,9,2,6,0,282,4,15,2022-2023
555,Guglielmo Vicario,ITA,['GK'],Empoli,25,1996,30.9,1277,999,277,107,0,0,0,0,0,0,0,0,923,1,0,2022-2023
556,Ronaldo Vieira,GNB,['MF'],Torino,24,1998,0.2,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0,2022-2023
557,Ronaldo Vieira,GNB,['MF'],Sampdoria,24,1998,9.1,440,418,20,17,0,1,1,3,0,0,0,0,384,2,6,2022-2023
558,Emanuel Vignato,ITA,"['MF', 'FW']",Bologna,21,2000,2.7,99,97,2,0,0,2,2,1,1,1,0,0,79,0,2,2022-2023
559,Emanuel Vignato,ITA,"['MF', 'FW']",Empoli,21,2000,0.6,54,51,3,0,0,1,2,2,1,1,0,0,43,0,2,2022-2023
560,Samuele Vignato,ITA,"['MF', 'FW']",Monza,18,2004,0.7,36,35,0,0,0,0,2,0,0,0,0,0,30,1,0,2022-2023
561,Tonny Vilhena,NED,['MF'],Salernitana,27,1995,25.2,864,799,61,24,1,14,52,9,28,5,16,0,662,4,22,2022-2023
562,Gonzalo Villar,ESP,['MF'],Sampdoria,24,1998,7.7,381,345,35,31,0,0,7,0,3,1,2,0,317,1,1,2022-2023
563,Matías Viña,URU,['DF'],Roma,24,1997,0.6,30,20,10,0,0,0,2,10,0,0,0,0,22,0,0,2022-2023
564,Dušan Vlahović,SRB,['FW'],Juventus,22,2000,21.4,381,350,30,1,1,4,7,0,0,0,0,0,271,1,16,2022-2023
565,Nikola Vlašić,CRO,"['MF', 'FW']",Torino,24,1997,30.3,981,954,23,3,2,8,46,5,9,5,2,0,775,4,43,2022-2023
566,Joel Voelkerling Persson,SWE,"['FW', 'MF']",Lecce,19,2003,1.1,39,38,1,0,0,0,4,0,0,0,0,0,24,0,1,2022-2023
567,Mërgim Vojvoda,KVX,['DF'],Torino,27,1995,19.1,1143,960,178,16,4,13,43,152,10,6,0,0,887,5,18,2022-2023
568,Cristian Volpato,ITA,['MF'],Roma,18,2003,2.5,105,100,5,1,1,1,9,1,2,1,1,0,83,0,3,2022-2023
