Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
109,Lewis Cook,ENG,"['MF', 'DF']",Bournemouth,27,1997,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7,2024-2025
110,Maxwel Cornet,CIV,['FW'],Southampton,27,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0,2024-2025
111,Vladimír Coufal,CZE,['DF'],West Ham,31,1992,11.9,5,0,0,22,16,0,28,8,15,0,0,1,39,23,16,59.0,2024-2025
112,Woyo Coulibaly,MLI,['DF'],Leicester City,25,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0,2024-2025
113,Aaron Cresswell,ENG,['DF'],West Ham,34,1989,9.2,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50.0,2024-2025
114,Marc Cucurella,ESP,['DF'],Chelsea,26,1998,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36.0,2024-2025
115,Jorge Cuenca,ESP,['DF'],Fulham,24,1999,3.9,0,0,0,2,2,0,1,2,2,0,0,0,10,6,3,66.7,2024-2025
116,Matheus Cunha,BRA,"['MF', 'FW']",Wolves,25,1999,28.9,4,0,0,42,71,8,142,17,22,0,1,0,125,13,29,31.0,2024-2025
117,Patson Daka,ZAM,"['FW', 'MF']",Leicester City,25,1998,8.2,0,0,0,15,19,3,3,1,10,0,0,0,18,10,28,26.3,2024-2025
118,Diogo Dalot,POR,['DF'],Manchester Utd,25,1999,31.3,5,0,0,40,9,4,66,37,40,0,1,0,167,38,21,64.4,2024-2025
119,Mikkel Damsgaard,DEN,"['MF', 'FW']",Brentford,24,2000,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8,2024-2025
120,Danilo,BRA,"['MF', 'FW']",Nott'ham Forest,23,2001,3.1,0,0,0,2,0,0,3,4,4,0,0,0,19,1,2,33.3,2024-2025
121,Jayden Danns,ENG,['MF'],Liverpool,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-2025
122,Kevin Danso,AUT,['DF'],Tottenham,25,1998,9.4,0,0,0,9,13,0,1,6,5,0,0,0,27,21,12,63.6,2024-2025
123,Ben Davies,WAL,['DF'],Tottenham,31,1993,14.8,5,0,0,17,7,0,4,12,11,0,0,0,41,52,44,54.2,2024-2025
124,Leif Davis,ENG,['DF'],Ipswich Town,24,2000,30.5,5,1,0,27,31,5,161,25,27,0,2,0,113,34,23,59.6,2024-2025
125,Craig Dawson,ENG,['DF'],Wolves,34,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,2024-2025
126,Kevin De Bruyne,BEL,"['MF', 'FW']",Manchester City,33,1991,18.9,2,0,0,17,18,5,145,7,9,0,0,0,64,5,16,23.8,2024-2025
127,Bobby De Cordova-Reid,JAM,['FW'],Leicester City,31,1993,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30.0,2024-2025
128,Liam Delap,ENG,['FW'],Ipswich Town,21,2003,28.8,12,0,0,72,51,14,5,2,8,2,0,0,68,55,74,42.6,2024-2025
129,Sepp van den Berg,NED,['DF'],Brentford,22,2001,28.7,3,0,0,23,5,1,7,21,24,1,0,0,97,94,77,55.0,2024-2025
130,Justin Devenny,NIR,['MF'],Crystal Palace,20,2003,5.6,1,0,0,8,0,1,17,0,12,0,0,0,27,2,13,13.3,2024-2025
131,Kiernan Dewsbury-Hall,ENG,"['MF', 'FW']",Chelsea,25,1998,2.9,0,0,0,4,6,0,2,2,5,0,0,0,9,0,1,0.0,2024-2025
132,Amad Diallo,CIV,"['MF', 'FW']",Manchester Utd,22,2002,21.1,5,0,0,21,28,9,42,11,31,2,0,0,109,10,15,40.0,2024-2025
133,Rúben Dias,POR,['DF'],Manchester City,27,1997,25.2,4,0,0,12,8,0,3,20,11,0,1,1,78,37,34,52.1,2024-2025
134,Luis Díaz,COL,['FW'],Liverpool,27,1997,26.7,2,0,0,48,31,10,32,7,26,2,0,0,105,13,38,25.5,2024-2025
135,Tyler Dibling,ENG,"['FW', 'MF']",Southampton,18,2006,20.8,6,0,0,30,50,2,28,8,20,2,0,0,80,10,25,28.6,2024-2025
136,Lucas Digne,FRA,['DF'],Aston Villa,31,1993,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9,2024-2025
137,Issa Diop,FRA,['DF'],Fulham,27,1997,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,2024-2025
138,Axel Disasi,FRA,['DF'],Aston Villa,26,1998,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,2024-2025
139,Axel Disasi,FRA,['DF'],Chelsea,26,1998,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4,2024-2025
140,Roman Dixon,ENG,['DF'],Everton,19,2004,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0,2024-2025
141,Nasser Djiga,BFA,['DF'],Wolves,21,2002,0.7,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,50.0,2024-2025
142,Matt Doherty,IRL,['DF'],Wolves,32,1992,23.4,6,0,0,18,11,2,22,22,21,0,0,1,106,56,21,72.7,2024-2025
143,Jeremy Doku,BEL,"['FW', 'MF']",Manchester City,22,2002,16.8,1,0,0,10,33,5,59,4,22,0,0,0,63,0,12,0.0,2024-2025
144,Nicolás Domínguez,ARG,"['MF', 'FW']",Nott'ham Forest,26,1998,21.8,9,0,0,33,18,1,7,29,45,0,0,0,114,27,23,54.0,2024-2025
145,Patrick Dorgu,DEN,['DF'],Manchester Utd,19,2004,9.4,3,1,0,17,28,3,39,4,24,0,0,0,37,15,9,62.5,2024-2025
146,Alfie Dorrington,ENG,['DF'],Tottenham,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,2024-2025
147,Abdoulaye Doucouré,MLI,['MF'],Everton,31,1993,28.5,5,1,1,49,5,10,23,10,28,0,0,0,150,30,44,40.5,2024-2025
148,Cheick Doucouré,MLI,['MF'],Crystal Palace,24,2000,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,2024-2025
149,Flynn Downes,ENG,['MF'],Southampton,25,1999,23.9,12,0,0,50,39,0,4,32,25,0,0,0,83,17,17,50.0,2024-2025
150,Tommy Doyle,ENG,['MF'],Wolves,22,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,2024-2025
151,Radu Drăgușin,ROU,['DF'],Tottenham,22,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0,2024-2025
152,Martin Dúbravka,SVK,['GK'],Newcastle Utd,35,1989,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,2024-2025
153,Lewis Dunk,ENG,['DF'],Brighton,32,1991,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2,2024-2025
154,Jáder Durán,COL,['FW'],Aston Villa,20,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,2024-2025
155,Claudio Echeverri,ARG,['FW'],Manchester City,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2024-2025
156,Ederson,BRA,['GK'],Manchester City,30,1993,25.8,4,0,0,1,0,0,0,1,0,0,1,0,42,4,1,80.0,2024-2025
157,George Edmundson,ENG,['DF'],Ipswich Town,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-2025
158,Odsonne Édouard,FRA,"['MF', 'FW']",Crystal Palace,26,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,2024-2025
159,Odsonne Édouard,FRA,['FW'],Leicester City,26,1998,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0,2024-2025
160,Samuel Edozie,ENG,"['DF', 'FW']",Southampton,21,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,2024-2025
161,Ronnie Edwards,ENG,['DF'],Southampton,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-2025
