Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
384,Keylor Navas,CRC,['GK'],Paris S-G,36,1986,4.0,98,78,20,2,0,0,0,0,0,0,0,0,91,0,0,2023-2024
385,Youssouf Ndayishimiye,BDI,"['MF', 'DF']",Nice,24,1998,19.0,1361,1313,46,41,3,7,1,5,0,0,0,0,1223,2,9,2023-2024
386,Bassirou Ndiaye,SEN,['FW'],Lorient,21,2002,1.7,39,35,4,0,0,0,1,0,1,1,0,0,27,0,2,2023-2024
387,Iliman Ndiaye,SEN,"['FW', 'MF']",Marseille,23,2000,18.0,562,554,7,1,2,0,18,1,0,0,0,0,465,1,20,2023-2024
388,Massamba Ndiaye,SEN,['GK'],Clermont Foot,21,2001,4.0,174,140,32,8,0,0,0,0,0,0,0,0,129,2,1,2023-2024
389,Rassoul Ndiaye,SEN,"['MF', 'FW']",Le Havre,21,2001,5.8,263,260,3,3,0,1,8,0,0,0,0,0,209,0,7,2023-2024
390,Cher Ndour,ITA,['MF'],Paris S-G,19,2004,0.3,25,25,0,0,0,0,0,0,0,0,0,0,23,0,0,2023-2024
391,Joseph Nduquidi,FRA,"['MF', 'DF']",Metz,18,2004,8.3,212,194,17,4,1,2,0,13,0,0,0,0,173,1,1,2023-2024
392,Loïc Nego,HUN,"['DF', 'MF']",Le Havre,32,1991,17.3,639,552,85,3,0,0,44,81,1,0,0,0,481,2,17,2023-2024
393,Steve Ngoura,FRA,"['FW', 'MF']",Le Havre,18,2005,2.5,50,48,2,0,0,1,1,0,0,0,0,0,33,0,2,2023-2024
394,Shamar Nicholson,JAM,['FW'],Clermont Foot,26,1997,16.5,386,353,33,0,1,5,6,0,0,0,0,0,272,0,13,2023-2024
395,Rasmus Nicolaisen,DEN,['DF'],Toulouse,26,1997,32.5,1679,1616,61,42,1,4,0,4,0,0,0,0,1426,2,6,2023-2024
396,Arnaud Nordin,FRA,"['FW', 'MF']",Montpellier,25,1998,13.8,390,376,11,1,2,0,35,3,1,0,1,0,304,3,17,2023-2024
397,Ernest Nuamah,GHA,"['FW', 'MF']",Lyon,19,2003,20.4,692,643,48,18,0,7,75,5,24,19,2,0,535,1,26,2023-2024
398,Gerzino Nyamsi,FRA,['DF'],Strasbourg,26,1997,12.1,632,595,37,29,0,6,1,0,0,0,0,0,555,0,6,2023-2024
399,Rabby Nzingoula,FRA,"['MF', 'FW']",Strasbourg,17,2005,1.5,43,43,0,0,0,0,3,0,0,0,0,0,27,0,1,2023-2024
400,Jake O'Brien,IRL,['DF'],Lyon,22,2001,26.3,1440,1375,63,37,0,9,1,9,0,0,0,0,1270,2,9,2023-2024
