Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
219,Harry Kane,ENG,['FW'],Bayern Munich,30,1993,31.5,83,2.63,54,2,7,13,7,0,11,0.35,8,1,0,2,0,0,2023-2024
220,Atakan Karazor,TUR,['MF'],Stuttgart,26,1996,29.1,57,1.96,49,0,0,2,1,5,5,0.17,5,0,0,0,0,0,2023-2024
221,Emir Karic,BIH,['DF'],Darmstadt 98,26,1997,19.8,47,2.37,41,1,3,0,0,2,2,0.10,2,0,0,0,0,0,2023-2024
222,Silas Katompa,COD,"['FW', 'MF']",Stuttgart,24,1998,10.0,42,4.20,25,0,11,2,4,0,7,0.70,2,0,3,1,1,0,2023-2024
223,Mikkel Kaufmann,DEN,['FW'],Union Berlin,22,2001,5.4,12,2.22,9,0,2,1,0,0,1,0.18,0,0,1,0,0,0,2023-2024
224,Naby Keïta,GUI,"['MF', 'DF']",Werder Bremen,28,1995,1.2,2,1.64,2,0,0,0,0,0,1,0.82,1,0,0,0,0,0,2023-2024
225,Yannik Keitel,GER,"['DF', 'MF']",Freiburg,23,2000,10.2,11,1.08,10,0,0,1,0,0,2,0.20,1,0,0,1,0,0,2023-2024
226,Thomas Keller,GER,"['MF', 'FW']",Heidenheim,23,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
227,Aljoscha Kemlein,GER,['MF'],Union Berlin,18,2004,0.3,1,3.10,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
228,Tobias Kempe,GER,['MF'],Darmstadt 98,34,1989,15.0,57,3.80,28,22,1,3,2,1,8,0.53,4,2,0,0,2,0,2023-2024
229,Rani Khedira,GER,['MF'],Union Berlin,29,1994,14.9,8,0.54,6,0,0,1,0,1,0,0.00,0,0,0,0,0,0,2023-2024
230,Luca Kilian,GER,['DF'],Köln,23,1999,7.1,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
231,Joshua Kimmich,GER,"['MF', 'DF']",Bayern Munich,28,1995,24.2,128,5.29,79,43,2,2,1,1,11,0.45,6,3,1,1,0,0,2023-2024
232,Christoph Klarer,AUT,['DF'],Darmstadt 98,23,2000,26.2,22,0.84,19,1,0,2,0,0,2,0.08,2,0,0,0,0,0,2023-2024
