Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
20,Will Alves,ENG,['FW'],Leicester City,19,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-2025
21,Harry Amass,ENG,['DF'],Manchester Utd,17,2007,3.8,181,150,31,2,0,0,9,29,0,0,0,0,149,0,3,2024-2025
22,Samuel Amo-Ameyaw,ENG,"['FW', 'DF']",Southampton,18,2006,0.3,9,8,1,0,0,0,2,0,1,0,0,0,8,0,0,2024-2025
23,Mathis Amougou,FRA,['MF'],Chelsea,18,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,2024-2025
24,Joachim Andersen,DEN,['DF'],Crystal Palace,28,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,2024-2025
25,Joachim Andersen,DEN,['DF'],Fulham,28,1996,28.7,2000,1891,102,81,0,35,12,9,0,0,0,0,1654,7,8,2024-2025
26,Elliot Anderson,ENG,['MF'],Nott'ham Forest,21,2002,30.3,1386,1292,85,26,7,4,86,2,48,17,28,0,1085,9,35,2024-2025
27,André,BRA,['MF'],Wolves,23,2001,27.5,1342,1308,32,28,5,15,0,2,0,0,0,0,1247,2,14,2024-2025
28,Michail Antonio,JAM,['FW'],West Ham,34,1990,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14,2024-2025
29,Antony,BRA,"['DF', 'MF']",Manchester Utd,24,2000,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1,2024-2025
30,Julian Araujo,MEX,['DF'],Bournemouth,22,2001,5.5,225,198,27,2,0,0,9,25,0,0,0,0,178,0,2,2024-2025
31,Cameron Archer,ENG,['FW'],Southampton,23,2001,16.0,251,231,19,0,2,0,3,0,0,0,0,0,205,1,8,2024-2025
32,Alphonse Areola,FRA,['GK'],West Ham,31,1993,25.1,989,716,268,72,0,3,0,0,0,0,0,0,688,5,3,2024-2025
33,Joe Aribo,NGA,"['MF', 'DF']",Southampton,28,1996,22.4,1046,1032,13,4,2,1,10,4,0,0,0,0,929,1,15,2024-2025
34,Adam Armstrong,ENG,"['FW', 'MF']",Southampton,27,1997,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12,2024-2025
35,Harrison Armstrong,ENG,['MF'],Everton,17,2007,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0,2024-2025
36,Kepa Arrizabalaga,ESP,['GK'],Bournemouth,29,1994,31.0,1027,728,295,103,0,0,0,0,0,0,0,0,752,4,2,2024-2025
37,Marco Asensio,ESP,['MF'],Aston Villa,28,1996,8.3,313,271,39,14,2,1,38,0,23,11,1,0,242,3,8,2024-2025
38,Brandon Austin,ENG,['GK'],Tottenham,25,1999,1.0,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0,2024-2025
39,Taiwo Awoniyi,NGA,['FW'],Nott'ham Forest,26,1997,4.6,96,96,0,0,1,0,2,0,0,0,0,0,61,0,4,2024-2025
40,Yasin Ayari,SWE,['MF'],Brighton,20,2003,21.8,973,880,92,34,10,1,69,3,37,27,6,1,793,1,14,2024-2025
41,Jordan Ayew,GHA,"['FW', 'MF']",Crystal Palace,32,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0,2024-2025
42,Jordan Ayew,GHA,"['FW', 'MF']",Leicester City,32,1991,18.2,540,490,49,13,3,2,60,5,28,15,8,3,401,1,11,2024-2025
43,Benoît Badiashile,FRA,['DF'],Chelsea,23,2001,3.7,304,288,15,5,0,1,0,0,0,0,0,0,273,1,0,2024-2025
44,Leon Bailey,JAM,"['FW', 'MF']",Aston Villa,26,1997,12.7,390,369,18,0,5,1,34,1,17,9,0,0,277,3,24,2024-2025
45,Carlos Baleba,CMR,['MF'],Brighton,20,2004,29.6,1314,1289,23,10,7,3,9,3,0,0,0,0,1149,2,14,2024-2025
46,Ross Barkley,ENG,['MF'],Aston Villa,30,1993,6.5,395,381,13,11,0,3,1,1,0,0,0,0,337,1,9,2024-2025
47,Harvey Barnes,ENG,['FW'],Newcastle Utd,26,1997,19.5,607,590,15,3,5,1,47,10,2,0,0,0,474,2,17,2024-2025
48,Calvin Bassey,NGA,['DF'],Fulham,24,1999,34.2,2155,2025,128,48,0,10,8,8,0,0,0,0,1934,2,17,2024-2025
49,Altay Bayındır,TUR,['GK'],Manchester Utd,26,1998,4.0,152,121,31,7,0,0,0,0,0,0,0,0,92,0,2,2024-2025
50,Jan Bednarek,POL,['DF'],Southampton,28,1996,28.1,1687,1606,79,33,0,7,1,1,0,0,0,0,1564,2,4,2024-2025
51,Armel Bella Kotchap,GER,['DF'],Southampton,22,2001,3.7,224,219,4,4,0,0,0,0,0,0,0,0,202,1,1,2024-2025
52,Jean-Ricner Bellegarde,HAI,"['MF', 'FW']",Wolves,26,1998,18.6,599,575,23,9,5,4,44,3,5,4,0,0,475,1,21,2024-2025
