player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Maroan Sannadi,24,"['Morocco', 'Spain']",CF,€400k,Deportivo Alavés,Athletic Bilbao,€3.00m,24/25
Andoni Gorosabel,27,['Spain'],RB,€5.00m,Deportivo Alavés,Athletic Bilbao,free transfer,24/25
Unai Núñez,27,['Spain'],CB,€7.00m,Athletic Bilbao,Celta de Vigo,€7.00m,24/25
Asier Villalibre,26,['Spain'],CF,€2.50m,Athletic Bilbao,Deportivo Alavés,€1.00m,24/25
Imanol García de Albéniz,24,['Spain'],LB,€1.20m,Athletic Bilbao,AC Sparta Prague,€500k,24/25
Ander Herrera,35,['Spain'],CM,€1.50m,Athletic Bilbao,CA Boca Juniors,€400k,24/25
Jon Morcillo,25,['Spain'],LW,€1.00m,Athletic Bilbao,Albacete Balompié,free transfer,24/25
Dani García,34,['Spain'],DM,€1.80m,Athletic Bilbao,Olympiacos Piraeus,free transfer,24/25
Juan Artola,24,['Spain'],RW,€400k,Athletic Bilbao,Cultural Leonesa,free transfer,24/25
Iker Muniain,31,['Spain'],LW,€5.00m,Athletic Bilbao,CA San Lorenzo de Almagro,free transfer,24/25
Raúl García,37,['Spain'],AM,€1.50m,Athletic Bilbao,Retired,-,24/25
Tomás Conechny,26,"['Argentina', 'Poland']",LW,€4.50m,CD Godoy Cruz Antonio Tomba,Deportivo Alavés,€3.50m,24/25
Toni Martínez,27,['Spain'],CF,€5.00m,FC Porto,Deportivo Alavés,€2.00m,24/25
Hugo Novoa,21,['Spain'],RB,€2.50m,RB Leipzig,Deportivo Alavés,€1.50m,24/25
Stoichkov,30,['Spain'],SS,€4.00m,SD Eibar,Deportivo Alavés,€1.00m,24/25
Moussa Diarra,23,"['Mali', 'France']",CB,€2.00m,FC Toulouse,Deportivo Alavés,free transfer,24/25
Facundo Garcés,25,"['Malaysia', 'Argentina']",CB,€1.20m,CA Colón,Deportivo Alavés,free transfer,24/25
Rubén Duarte,28,['Spain'],CB,€3.00m,Deportivo Alavés,UNAM Pumas,€4.00m,24/25
Stoichkov,31,['Spain'],SS,€2.50m,Deportivo Alavés,Granada CF,€2.50m,24/25
Miguel de la Fuente,24,['Spain'],CF,€2.50m,Deportivo Alavés,CD Leganés,€2.00m,24/25
Luis Rioja,30,['Spain'],LW,€4.00m,Deportivo Alavés,Valencia CF,€1.20m,24/25
Abdallahi Mahmoud,24,['Mauritania'],AM,€400k,Deportivo Alavés,Al-Arabi SC (Kuwait),€90k,24/25
Álex Balboa,23,"['Equatorial Guinea', 'Spain']",CM,€200k,Deportivo Alavés,Almere City FC,free transfer,24/25
Alan Godoy,21,['Spain'],CF,€250k,Deportivo Alavés,CD Eldense,free transfer,24/25
Xeber Alkain,27,['Spain'],RW,€1.50m,Deportivo Alavés,SD Eibar,free transfer,24/25
